author,content,country,date,id,rating,title,version,vote_count,vote_sum
MommaMika2007,"Exceptional service, fast response and convenient. Recommend anyone that has printing needs utilize this service!",us,2026-01-16T07:45:19-07:00,13640310046,5,Exceptional,20.2.0,0,0
2Lchelle22w,My black ink cartridge is full but when I click print the page is blank when it comes out the printer.,us,2026-01-16T05:47:19-07:00,13639915997,1,Printer issue,20.2.0,0,0
TabBo8294,"I have the 2800 series printer, and I love it! This has to be the best printer I’ve ever owned. While I don’t like the fact that I have a set number of pages I can print out I get charged extra, I still love it! The way I see it is I already paid for the printer and I’m paying for the ink so I should be able to print however many pages I want a month. But there’s more pros than cons with this printer, like being able to scan pages with your computer and then send faxes through the app",us,2026-01-16T04:09:59-07:00,13639613924,5,The best printer I’ve owned!,20.2.0,0,0
Canela S.,No one can seem to help this is a 2-3year old printer and out of nowhere shows this error doesn’t want to print because of some APP change I’ve spent 3 days trying to fix it- DONT BUY THESE PRINTERS CANT YOU CANT GRT HELP,us,2026-01-15T19:59:55-07:00,13638536810,1,FINISH PRINTER SET UP ERROR,20.2.0,0,0
Mosaiiic,Dude I own the printer,us,2026-01-15T18:06:40-07:00,13638265058,1,Made me sign in to print,20.2.0,0,0
Violet70$,Love the idea I can print from my phone and don’t need the computer to do it.,us,2026-01-15T17:21:46-07:00,13638151833,5,Wireless,20.2.0,0,0
gaxunil,Rotate just stops working. HP sucks. Never again!!,us,2026-01-15T17:02:20-07:00,13638102508,1,Terrible.,20.2.0,0,0
abhihhhhj,effective,us,2026-01-15T15:31:53-07:00,13637878556,5,Rey was very helpful,20.2.0,0,0
EL TURYKATE,Fácil de usar en español,us,2026-01-15T15:22:36-07:00,13637855353,5,Muy fácil,20.2.0,0,0
sunny side SF,Very easy to use. This app do create clean easy to read document that able to save as a PDF file and email.,us,2026-01-15T14:34:34-07:00,13637735931,5,Fantastic!,20.2.0,0,0
Oveja en paz,Nice,us,2026-01-15T14:24:46-07:00,13637711275,5,Hp,20.2.0,0,0
Ardgee,"I like the app and the details. However I have a message that I haven’t completed my setup.  I go to finish it, I get to the HP+ agreement page, but there’s no way to agree or advance to the agreement.",us,2026-01-15T11:53:40-07:00,13637315321,3,Ap Bug?,20.2.0,0,0
FroznToast,"Love the new UI, though I only have printer so would be good to default to printer actions page",us,2026-01-15T11:49:48-07:00,13637304717,5,Great Update!,20.2.0,0,0
brandonskruse,HP has got to be the worst printer I’ve ever purchased. Not for printing just for problems. It says Wi-Fi connection error every month two weeks out of the month. I forget the network and re-sign in to the Wi-Fi. It still has an error exclamation over the Wi-Fi and does not work. I have to have the printer turned off sometimes for a week straight to get it to reset. Then the HP smart app on Windows cannot will not show that I have the printer connected through USB so I have to download party app to use the scanner because the HP smart app can’t find a plugged in printer to my computer. I will always never recommend an HP printer. Not for quality of print for the inability to print.,us,2026-01-15T11:09:39-07:00,13637192641,1,Lifetime problems,20.2.0,0,0
bnmcox15,Just bought this printer it direct do anything,us,2026-01-15T10:58:59-07:00,13637162507,1,This printer will not print,20.2.0,0,0
NathaliPeguero,Excellent services! 10/10,us,2026-01-15T10:39:46-07:00,13637107214,5,Excellent!!!,20.2.0,0,0
Mommashirk,Mike Smith was the best rep ever to assist me. He was patient over the hour time to get my phone and laptop to print. I was very emotional and weak as I am ill and he persevered.,us,2026-01-15T09:54:39-07:00,13636974603,5,Human help,20.2.0,0,0
chcmary,This is a replacement printer and I hate it.  Everything is simply so difficult.  All I do is jump through hoops to do a simple print.  I just printed a photo and I said 4x6 and got a full page.  It is awful.,us,2026-01-15T08:40:46-07:00,13636747244,1,Hate this printer,20.2.0,0,0
Hpisimpossa,Every time you try to set up on of these printers it takes hours and ends with calling support,us,2026-01-15T08:22:16-07:00,13636689258,1,Setup never works,20.2.0,0,0
Quomae,"The app has what is needed to print,scan and fax. Overall though. One thing I wish this printer has and it’s, being able to connect to my laptop with the cord but no disk came with purchase. Be careful on that end. Wi-Fi wise? Works flawlessly.",us,2026-01-15T08:14:06-07:00,13636663457,5,Great & easy,20.2.0,1,1
jeffsdfw,"Why can’t you replace the ink, and move on. Why do you have to waste 1/2 the cartridge before it’s starts printing correctly. This product is terrible.",us,2026-01-15T07:04:06-07:00,13636437611,1,Ink replacement and ease of print is terrible,20.2.0,0,0
Fruga1,"I sent the paper size that I need, but the system does not seem to recognize that and refuses to print out any photographs",us,2026-01-15T05:13:00-07:00,13636078228,1,Just doesn’t work,20.2.0,0,0
Rafa's Music,It is very slow when printing a doc using the APP,us,2026-01-14T20:01:28-07:00,13634824130,1,Printing slow,20.2.0,0,0
Dr. BRJ,"I live in Tallahassee and the lines at Office Depot to get a document faxed or printed usually is ridiculously crazy. I decided to invest in a HP 8135e. Best decision ever! Fax from my phone and instantly the document is sent plus a fax history log/receipt. Love it! No more long lines nor paying $2.99 to fax.
Thanks HP!",us,2026-01-14T19:49:22-07:00,13634796717,5,New Fax,20.2.0,0,0
cjharris1956,"Once you get past their AI “Holly”, they provide excellent customer service",us,2026-01-14T19:09:04-07:00,13634701492,5,Excellent service,20.2.0,0,0
Mayor 1235,Not good,us,2026-01-14T18:51:27-07:00,13634658794,1,Print quality,20.2.0,0,0
shak shak keki,Me encanta es lo mejor,us,2026-01-14T17:10:54-07:00,13634405840,5,Excelente,20.2.0,0,0
aavaloss,Omg omg omg fr fr no Charlie Kirk,us,2026-01-14T17:10:53-07:00,13634405822,5,Omg I love hp,20.2.0,0,0
MRBAWAT,Difficult to connect to internet along with it constantly wants to print pages and it wastes Ink! Dislike this a lot as it feels very scammy from HP to get you to buy more ink!,us,2026-01-14T15:32:39-07:00,13634161184,1,Stop wasting my ink!!!,20.2.0,0,0
Brad11732953,I’ve had this printer going on 6 years now and this thing is a beast. Never had any issues with it. Connects to my phone seamlessly. The HP app literally shows me the ink levels and does everything I could ever want. The ink cartridges are very common and easy to find at the store. They even have a package to send back your old used cartridges. The best part is the printer was very inexpensive brand new. I have the HP OfficeJet 5255. I will always buy HP printers.,us,2026-01-14T14:20:43-07:00,13633982245,5,Best hands down,20.2.0,0,0
Printer block,Never wants to print from my home computer,us,2026-01-14T14:05:11-07:00,13633942833,1,Do not work,20.2.0,0,0
Ahshajahsggaja,The worst app for an even worse printer,us,2026-01-14T13:37:51-07:00,13633872572,1,Just Awful,20.2.0,0,0
456?$@,"I love this app!  It’s so easy to use, even for a non-techy person like me!",us,2026-01-14T12:24:18-07:00,13633675478,5,Great app,20.2.0,0,0
Blubbrypie,The hp app as well as their devices have made all of my office needs accessible to my home. I have every capability that I would have to pay for inside of any print shop. It’s everything that they’ve expressed it to be.,us,2026-01-14T12:00:19-07:00,13633608914,5,Exceptional,20.2.0,0,0
Vjvt26,Mala conexión imposible establecer conexión desde los celulares,us,2026-01-14T10:58:08-07:00,13633433793,1,Mala Conexión,20.2.0,0,0
Dexcom is better,NEVER BUY THIS. Absolutely garbage. Made so poorly and it’s a complete money grabbing scam. It’s a complete piece of you know what. The app is just as terrible too. I wouldn’t recommend to my worst enemy.,us,2026-01-14T10:45:12-07:00,13633396579,1,HP OfficeJet Pro 8135e,20.2.0,0,0
Oh well never mind,"Only if you go through the HP app is the printing seamless and actually works. If you are trying print any other way, it doesn’t work well and there’s always an issue. Couple that with fact that I have ink in my printer and I can run out of prints through this program, which I know is optional but supposedly more convenient, it’s kind of ridiculous. HP is a good brand of computer and a good brand of printer, but maybe they should focus making ink and paper and automated thing through a monthly subscription service and more on just making their products more cheap cheaper.",us,2026-01-14T10:29:52-07:00,13633351566,3,Usable but a headache,20.2.0,0,0
lls1959,Just tried to download the app to my iPhone and it will not load without credit card info. WHY?????,us,2026-01-13T21:44:37-07:00,13631301178,1,Really need credit card info,20.2.0,0,0
NotaDimwit,Always problems,us,2026-01-13T21:06:06-07:00,13631220987,1,Fubar,20.2.0,0,0
SanerLynn,Working for a while then suddenly it lost the WiFi and after several hours got it to connect again to the router but now it won’t print from my phone. I can get it to scan and print but I can no longer print a document from my phone. Very frustrating!!!,us,2026-01-13T20:55:35-07:00,13631198428,1,Trouble,20.2.0,0,0
Forza_azzurri75,Prints whenever it feels like.  Always says paper jam.  There is and never has been a paper jam.  Trash printer.,us,2026-01-13T19:38:00-07:00,13631020254,1,Printer sucks,20.2.0,0,0
LadiH76,I❤️it,us,2026-01-13T18:54:25-07:00,13630916206,5,Best printer 🖨️ ever,20.2.0,0,0
Tyrus Reed,They control everything about this printer. I’m not even able to purchase less expensive ink cause the printer won’t work if I do. And if I don’t have my subscription set up with an active card the printer won’t work.,us,2026-01-13T17:13:51-07:00,13630662486,1,Worst purchase,20.2.0,0,0
123itsjusthaset,Slow to connect to WiFi . Make it hard for wireless printing,us,2026-01-13T16:54:29-07:00,13630613259,4,WiFi connection,20.2.0,0,0
Qualified Delight,Quickly responds to all requests from my iPhone. Exponentially superior to my sluggish Canon.,us,2026-01-13T16:53:57-07:00,13630611883,5,Great printer!,20.2.0,0,0
Ms. Damien,Was great but now I cannot access the mobile fax.,us,2026-01-13T16:47:48-07:00,13630596481,1,What happened?,20.2.0,0,0
DKPatriot,I’m so impressed with this little powerhouse! We have a large commercial grade printer at work and the capabilities of this printer are comparable to all the options I have with my work printer. 5 stars all the way!!!,us,2026-01-13T15:23:49-07:00,13630386844,5,Awesome!!!!,20.2.0,0,0
Parkinsomnia,"Hadn’t use this app in a long time, but recently rediscovered it due to needing to scan some documents. I didn’t realize just how easily this connects to your HP printer and we’ve had our printer for years so I’m impressed with the backwards compatibility. An even nicer surprise was that I was able to fax a document directly from this app right after scanning it. I just happened to stumble upon that feature after just the day before looking for apps that would allow for free faxing. Very impressed and I like how the scanning feature shows a live updated document while the scan is occurring.",us,2026-01-13T13:06:58-07:00,13630037220,5,Awesome that you can scan and fax!,20.2.0,0,0
ssmb2000@,I just installed the app and it appears that it’s going to be very useful.  Thanks.,us,2026-01-13T10:30:44-07:00,13629608975,4,HP Office-jet Pro 8600,20.2.0,0,0
teryx08,This printer has been very good for three years. Very dependable,us,2026-01-13T10:26:35-07:00,13629597083,5,HP Desk jet 4255e,20.2.0,0,0
andreaj69,the app is kind of slow,us,2026-01-13T09:19:23-07:00,13629398060,4,Slow app,20.2.0,0,0
AndroidSuperFan,connectivity sucks. it requires geeks to figure out,us,2026-01-13T08:25:26-07:00,13629232189,1,Not easy to use,20.2.0,0,0
Kay Luves,My printer is working like a pro. It was easy to connect and all features work flawlessly :),us,2026-01-13T06:53:46-07:00,13628942067,5,Exceptional,20.2.0,0,0
DavidAdams,The new version requires your precise location to work. There’s no need for that. 1 star.,us,2026-01-13T05:24:42-07:00,13628655858,1,Requires location,20.2.0,0,0
jsswfl714,A simple printer makes you jump through hoops to set up. Took 30 plus mins to set up a simple printer. Buy a different brand and are yourself the headaches.,us,2026-01-12T15:14:59-07:00,13626652503,1,Waste of time,20.2.0,0,0
Adam Seger CCP,Does not print in color,us,2026-01-12T14:43:35-07:00,13626573290,1,Brand new printer with new ink does not print in color when color is selected on printer,20.2.0,0,0
Wifi funky,Disappointed,us,2026-01-12T14:00:08-07:00,13626460757,2,Loses wifi connection every day,20.2.0,0,0
bn vv,Buying ink for this product is a hassle very good app and printer though,us,2026-01-12T13:14:59-07:00,13626342056,3,Ink,20.2.0,0,0
jcarlina18.,Me encanta,us,2026-01-12T11:14:26-07:00,13626012582,5,Hp,20.2.0,0,0
megmeme12,Hp has really updated and has amazing features now,us,2026-01-12T09:07:56-07:00,13625636955,5,Amazing service,20.2.0,0,0
Miqote Kn,So easy even a toddler could use the app!,us,2026-01-12T07:50:16-07:00,13625394357,5,Very user friendly,20.2.0,0,0
Tkjap3,Hp is my go to to for all office functioning,us,2026-01-12T06:36:37-07:00,13625161719,5,Incredibly simple and accurate,20.2.0,0,0
Debagev,Constant issues with the HP Jet 140W. Don’t bother :),us,2026-01-12T04:41:05-07:00,13624804120,1,Sad,20.2.0,0,0
Joe Devaney,I’ve had this printer for 6 years. It’s still at the top of its game.,us,2026-01-11T19:03:47-07:00,13623523618,5,Fantastic printer!,20.2.0,0,0
Shawn Sully,Works like a charm!,us,2026-01-11T18:21:43-07:00,13623418075,5,Hp writer,20.2.0,0,0
caoloveslibraries,I highly recommend HP printers and the HP app  both. I love being able to print from my phone while sitting on my couch.,us,2026-01-11T17:26:35-07:00,13623276535,5,Loving it!,20.2.0,0,0
sanga368,I don’t like this printer,us,2026-01-11T17:26:16-07:00,13623275651,1,Not printing,20.2.0,0,0
Funny how this works,Terrible!!!!!   Horrible set up and took forever.,us,2026-01-11T16:08:26-07:00,13623074539,1,Hp printer,20.2.0,0,0
Impresionante y bueno,Excelente producto,us,2026-01-11T13:51:36-07:00,13622714318,5,Impresora,20.2.0,0,0
JEY1,Non-computer literate. Still managed to set up and print.  Still learning but process so far easy to set up.,us,2026-01-11T12:50:34-07:00,13622541463,5,Easy set up,20.2.0,0,0
beigeeb,This app makes it easy for everybody,us,2026-01-11T12:20:16-07:00,13622451462,5,Best ever,20.2.0,0,0
Fabian3sg,Worked pretty ok. But now it does not,us,2026-01-11T11:01:26-07:00,13622198309,4,New WiFi. Impossible to connect,20.2.0,0,0
pachy5,Es impresionante la ayuda de esta herramienta te simplifica el trabajo,us,2026-01-11T09:50:13-07:00,13621961400,4,Ayuda,20.2.0,0,0
Sava-Marie,My printer disconnected for some reason. I’ve got it connected again but it won’t print. Way to much work for the money that was paid for the printer,us,2026-01-11T08:57:09-07:00,13621781521,1,Printer,20.2.0,0,0
tamilaaat,Cannot print straight from website,us,2026-01-11T08:52:06-07:00,13621764451,1,Wth is wrong with the setup,20.2.0,0,0
ThatBillGuy,Why TF do I need an HP account to print things from my own home?  And where TF did the setting go to print multiple per page???  I don’t really need an 8.5x11 Fn shipping label!!!,us,2026-01-11T06:54:45-07:00,13621361068,1,Minimal Garbage Probably Spyware,20.2.0,0,0
SmLooky,Es bonita la impresora tiene muchas funciones pero le toma mucho tiempo imprimir ósea le mandé a imprimir 8 hojas y se tardo más de 6 min demasiado tiempo para 8 hojas,us,2026-01-10T19:49:47-07:00,13619641391,1,Imprime,20.2.0,0,0
GameMiss,Time consuming at times better to have the app,us,2026-01-10T19:32:37-07:00,13619597033,1,Must have,20.2.0,0,0
cammiloh,i have to wait a really long time for the app to detect that my printer does have scanning capability. forcing me to force quit the app multiple times until it actually works. DeskJet 2800e All-in-One Printer series.,us,2026-01-10T18:45:52-07:00,13619472862,1,scanning issues,20.2.0,0,0
LDS.. Nana,I love HP computers and printers! I’ve never bought in all the years I’ve been using computers and printers bought any other printer then HP because they are superior to any other printer out there! How do I know if HP   is all I’ve ever bought? Because hubby has bought so many under performing printers and my is 100 times more efficient than any of his other brand printers!!,us,2026-01-10T18:19:07-07:00,13619400326,5,My HP PRINTER,20.2.0,0,0
Save effort,Not worth the price to have subscriptions mandatory. Can’t just use the printer to use and get to work . You must have all subscriptions. Epsom printer would have been better .,us,2026-01-10T18:16:34-07:00,13619393363,1,Subscriptions,20.2.0,0,0
Wpfost,Can't get the printer to print 4x6 glossy!,us,2026-01-10T14:02:51-07:00,13618711413,2,Picture,20.2.0,0,0
Trundle420,BOOOOO YOU STINK,us,2026-01-10T12:00:00-07:00,13618358190,1,SUBSCRIPTION BASED INKS?!,20.2.0,0,0
Sherrymad,I have sent fax from hpsmart and it has problems with VPN connection.,us,2026-01-10T10:50:17-07:00,13618141513,5,Prints most documents,20.2.0,0,0
Warponie Art,This will not print in color and is quite impossible to connect to WiFi,us,2026-01-10T09:50:35-07:00,13617946863,1,Worst printer do not buy!!!!,20.2.0,0,0
Turbocouch,"I can use this to log in to my account on my iPad Pro and see my printer, but on my laptop running Win11 I log in and it says I have no printers in my account. There are lengthy directions to troubleshoot how to get this corrected, but of course they disappear when you try to do what it says. I’ve had my printer for several years and it had always worked ok, once I got it setup. As a matter of fact, it worked better on my desktop than my iPad. Now it is the opposite. I have Norton 360 on all my devices and have turned off all the protection such as the two VPN’s built in. It doesn’t matter. I use my printer all the time. Now it is a big paper weight. Thanks for all the new features I can’t use. I can’t use it at all now.",us,2026-01-10T09:16:15-07:00,13617831473,1,Difficult to use.,20.2.0,0,0
Ggfcghh,"HP are consistently the worst printers I have ever worked with. Their connectivity is spotty at best, their customer support is awful, and their products just don’t work. I am never buying another HP printer ever, and possibly never buying any HP products in the future.",us,2026-01-10T08:36:00-07:00,13617691799,1,HP is Awful,20.2.0,0,0
Mrconversation616,Easy to use and excellent quality!!!,us,2026-01-10T07:56:22-07:00,13617552013,5,Needed important documents scanned,20.2.0,0,0
booykie,Way too complicated,us,2026-01-10T07:21:02-07:00,13617427545,1,Print job,20.2.0,0,0
Vintage Sunshine!,I can’t print double sided copies. I’ve adjusted the settings properly and it doesn’t work. This is very disappointing based on the price paid for my printer.,us,2026-01-10T07:01:56-07:00,13617360302,1,Double Sided Never,20.2.0,0,0
captainmorgansgirl,Does not support a lot of the Apple apps at all,us,2026-01-10T01:03:01-07:00,13616307761,1,Sucks,20.2.0,0,0
Never buy hp!,Get ready for the longest most infuriating captcha test of your life! Plus spam to buy overpriced ink for way too much!!! 0/5 stars,us,2026-01-09T19:24:39-07:00,13615525599,1,Worst captcha ever,20.2.0,0,0
m3nd3z22,My line,us,2026-01-09T17:05:13-07:00,13615127511,5,Byron,20.2.0,0,0
Pipermom10,"Confusing never print and color customer support sucks, etc. etc.",us,2026-01-09T15:11:55-07:00,13614817523,1,Never buying HP again,20.2.0,0,0
senior luvs u,Thank you for your service,us,2026-01-09T12:38:10-07:00,13614406126,5,I need black ink,20.2.0,0,0
analizarlos,"The printer does not print or print partially. The app not helpful, the printer disconnects from WiFi all the time. And when it does print it prints slowly, this printer is a pain in the but",us,2026-01-09T12:06:44-07:00,13614318043,1,Does not print,20.2.0,0,0
Denise Cooper,I’ve had this printer for years and set up the app to print wireless and it doesn’t work.,us,2026-01-09T09:56:35-07:00,13613930625,1,Just stopped,20.2.0,0,0
Barqinf,Tried 3 times. Just hard to connect to family wifi and make it work,us,2026-01-09T09:09:27-07:00,13613781629,1,Very light,20.2.0,0,0
geolehman,"This app simply will not connect to an HP 7900 printer. I’ve done troubleshooting, enabled BT. Nothing works. 

Also, the app just wants too much information online.

The printer frequently wants to printer outside its own capability into margins and content then gets clipped.

Bought a new printer because this is unacceptable in so many ways.",us,2026-01-09T09:07:33-07:00,13613775598,1,Won’t connect,20.2.0,0,0
Daninpasco,"I am so frustrated with this printer. The setup was brutal and after 2.5 hours of setup it still doesn’t work right. I’m already at 50% on the ink and haven’t printed anything yet. It’s slow and unresponsive, it’s cheap for a reason I guess. Trying to get help is fun too.",us,2026-01-09T08:57:59-07:00,13613744326,1,Awful,20.2.0,0,0
MWhfcb,Shouldn’t be so hard to print! I should be able to print without needing to download an app,us,2026-01-09T07:51:46-07:00,13613524562,1,A joke,20.2.0,0,0
Mcass,I cannot say enough great things about this app! I’m AMATURE photographer… and printing my photos has been GREAT!! 🌸🌸🌸🌸🌸,us,2026-01-09T07:24:28-07:00,13613432520,5,Wonderful!!!!!!💛💛💛,20.2.0,0,0
SugaDugaNJ,WHY?????  Can’t you just leave things alone!!!!  Obviously YOU are the ONLY ones luvin your RE-DAIFN  THE NEW APP IS “STUCK ON STUPID”AND I CAN’T PRINT IMPORTANT DOCUMENTS!!! 😡😤😡🤯😤😡,us,2026-01-09T07:03:14-07:00,13613359306,1,Wtf,20.2.0,0,0
31?vcjb la,Lo mejor de lo mejor,us,2026-01-08T21:04:03-07:00,13611829810,5,Amo la app,20.2.0,0,0
Shi Shi Ross,"Loved how easy it was to scan a document and send it to email! 

I’m loving my HP Smart Tank 5000 all in one printer.",us,2026-01-08T19:48:02-07:00,13611663981,5,First time scanning a document,20.2.0,0,0
barkbwrkbwrkbart,doesnt register the difference between letter paper and photo paper now??,us,2026-01-08T19:01:56-07:00,13611554564,1,degraded after it got updated a few months ago.,20.2.0,0,0
User 7429,"This app worked great previously but all I get now is. Printer asleep message, repeatedly even when the printer is not asleep.",us,2026-01-08T18:42:11-07:00,13611505793,1,Sleepy printer,20.2.0,0,0
???!!12.!!,Lo mejor que puedes tener en tu oficina o en casa es una impresora y plan HP te facilitará la vida,us,2026-01-08T17:47:43-07:00,13611366834,5,HP 100%,20.2.0,0,0
