author,content,country,date,id,rating,title,version,vote_count,vote_sum
Blubbrypie,The hp app as well as their devices have made all of my office needs accessible to my home. I have every capability that I would have to pay for inside of any print shop. It’s everything that they’ve expressed it to be.,us,2026-01-14T12:00:19-07:00,13633608914,5,Exceptional,20.2.0,0,0
Vjvt26,Mala conexión imposible establecer conexión desde los celulares,us,2026-01-14T10:58:08-07:00,13633433793,1,Mala Conexión,20.2.0,0,0
Dexcom is better,NEVER BUY THIS. Absolutely garbage. Made so poorly and it’s a complete money grabbing scam. It’s a complete piece of you know what. The app is just as terrible too. I wouldn’t recommend to my worst enemy.,us,2026-01-14T10:45:12-07:00,13633396579,1,HP OfficeJet Pro 8135e,20.2.0,0,0
Oh well never mind,"Only if you go through the HP app is the printing seamless and actually works. If you are trying print any other way, it doesn’t work well and there’s always an issue. Couple that with fact that I have ink in my printer and I can run out of prints through this program, which I know is optional but supposedly more convenient, it’s kind of ridiculous. HP is a good brand of computer and a good brand of printer, but maybe they should focus making ink and paper and automated thing through a monthly subscription service and more on just making their products more cheap cheaper.",us,2026-01-14T10:29:52-07:00,13633351566,3,Usable but a headache,20.2.0,0,0
lls1959,Just tried to download the app to my iPhone and it will not load without credit card info. WHY?????,us,2026-01-13T21:44:37-07:00,13631301178,1,Really need credit card info,20.2.0,0,0
NotaDimwit,Always problems,us,2026-01-13T21:06:06-07:00,13631220987,1,Fubar,20.2.0,0,0
SanerLynn,Working for a while then suddenly it lost the WiFi and after several hours got it to connect again to the router but now it won’t print from my phone. I can get it to scan and print but I can no longer print a document from my phone. Very frustrating!!!,us,2026-01-13T20:55:35-07:00,13631198428,1,Trouble,20.2.0,0,0
Forza_azzurri75,Prints whenever it feels like.  Always says paper jam.  There is and never has been a paper jam.  Trash printer.,us,2026-01-13T19:38:00-07:00,13631020254,1,Printer sucks,20.2.0,0,0
LadiH76,I❤️it,us,2026-01-13T18:54:25-07:00,13630916206,5,Best printer 🖨️ ever,20.2.0,0,0
Tyrus Reed,They control everything about this printer. I’m not even able to purchase less expensive ink cause the printer won’t work if I do. And if I don’t have my subscription set up with an active card the printer won’t work.,us,2026-01-13T17:13:51-07:00,13630662486,1,Worst purchase,20.2.0,0,0
123itsjusthaset,Slow to connect to WiFi . Make it hard for wireless printing,us,2026-01-13T16:54:29-07:00,13630613259,4,WiFi connection,20.2.0,0,0
Qualified Delight,Quickly responds to all requests from my iPhone. Exponentially superior to my sluggish Canon.,us,2026-01-13T16:53:57-07:00,13630611883,5,Great printer!,20.2.0,0,0
Ms. Damien,Was great but now I cannot access the mobile fax.,us,2026-01-13T16:47:48-07:00,13630596481,1,What happened?,20.2.0,0,0
DKPatriot,I’m so impressed with this little powerhouse! We have a large commercial grade printer at work and the capabilities of this printer are comparable to all the options I have with my work printer. 5 stars all the way!!!,us,2026-01-13T15:23:49-07:00,13630386844,5,Awesome!!!!,20.2.0,0,0
Parkinsomnia,"Hadn’t use this app in a long time, but recently rediscovered it due to needing to scan some documents. I didn’t realize just how easily this connects to your HP printer and we’ve had our printer for years so I’m impressed with the backwards compatibility. An even nicer surprise was that I was able to fax a document directly from this app right after scanning it. I just happened to stumble upon that feature after just the day before looking for apps that would allow for free faxing. Very impressed and I like how the scanning feature shows a live updated document while the scan is occurring.",us,2026-01-13T13:06:58-07:00,13630037220,5,Awesome that you can scan and fax!,20.2.0,0,0
ssmb2000@,I just installed the app and it appears that it’s going to be very useful.  Thanks.,us,2026-01-13T10:30:44-07:00,13629608975,4,HP Office-jet Pro 8600,20.2.0,0,0
teryx08,This printer has been very good for three years. Very dependable,us,2026-01-13T10:26:35-07:00,13629597083,5,HP Desk jet 4255e,20.2.0,0,0
andreaj69,the app is kind of slow,us,2026-01-13T09:19:23-07:00,13629398060,4,Slow app,20.2.0,0,0
AndroidSuperFan,connectivity sucks. it requires geeks to figure out,us,2026-01-13T08:25:26-07:00,13629232189,1,Not easy to use,20.2.0,0,0
Kay Luves,My printer is working like a pro. It was easy to connect and all features work flawlessly :),us,2026-01-13T06:53:46-07:00,13628942067,5,Exceptional,20.2.0,0,0
DavidAdams,The new version requires your precise location to work. There’s no need for that. 1 star.,us,2026-01-13T05:24:42-07:00,13628655858,1,Requires location,20.2.0,0,0
jsswfl714,A simple printer makes you jump through hoops to set up. Took 30 plus mins to set up a simple printer. Buy a different brand and are yourself the headaches.,us,2026-01-12T15:14:59-07:00,13626652503,1,Waste of time,20.2.0,0,0
Adam Seger CCP,Does not print in color,us,2026-01-12T14:43:35-07:00,13626573290,1,Brand new printer with new ink does not print in color when color is selected on printer,20.2.0,0,0
Wifi funky,Disappointed,us,2026-01-12T14:00:08-07:00,13626460757,2,Loses wifi connection every day,20.2.0,0,0
bn vv,Buying ink for this product is a hassle very good app and printer though,us,2026-01-12T13:14:59-07:00,13626342056,3,Ink,20.2.0,0,0
jcarlina18.,Me encanta,us,2026-01-12T11:14:26-07:00,13626012582,5,Hp,20.2.0,0,0
megmeme12,Hp has really updated and has amazing features now,us,2026-01-12T09:07:56-07:00,13625636955,5,Amazing service,20.2.0,0,0
Miqote Kn,So easy even a toddler could use the app!,us,2026-01-12T07:50:16-07:00,13625394357,5,Very user friendly,20.2.0,0,0
Tkjap3,Hp is my go to to for all office functioning,us,2026-01-12T06:36:37-07:00,13625161719,5,Incredibly simple and accurate,20.2.0,0,0
Debagev,Constant issues with the HP Jet 140W. Don’t bother :),us,2026-01-12T04:41:05-07:00,13624804120,1,Sad,20.2.0,0,0
Joe Devaney,I’ve had this printer for 6 years. It’s still at the top of its game.,us,2026-01-11T19:03:47-07:00,13623523618,5,Fantastic printer!,20.2.0,0,0
Shawn Sully,Works like a charm!,us,2026-01-11T18:21:43-07:00,13623418075,5,Hp writer,20.2.0,0,0
caoloveslibraries,I highly recommend HP printers and the HP app  both. I love being able to print from my phone while sitting on my couch.,us,2026-01-11T17:26:35-07:00,13623276535,5,Loving it!,20.2.0,0,0
sanga368,I don’t like this printer,us,2026-01-11T17:26:16-07:00,13623275651,1,Not printing,20.2.0,0,0
Funny how this works,Terrible!!!!!   Horrible set up and took forever.,us,2026-01-11T16:08:26-07:00,13623074539,1,Hp printer,20.2.0,0,0
Impresionante y bueno,Excelente producto,us,2026-01-11T13:51:36-07:00,13622714318,5,Impresora,20.2.0,0,0
JEY1,Non-computer literate. Still managed to set up and print.  Still learning but process so far easy to set up.,us,2026-01-11T12:50:34-07:00,13622541463,5,Easy set up,20.2.0,0,0
beigeeb,This app makes it easy for everybody,us,2026-01-11T12:20:16-07:00,13622451462,5,Best ever,20.2.0,0,0
Fabian3sg,Worked pretty ok. But now it does not,us,2026-01-11T11:01:26-07:00,13622198309,4,New WiFi. Impossible to connect,20.2.0,0,0
pachy5,Es impresionante la ayuda de esta herramienta te simplifica el trabajo,us,2026-01-11T09:50:13-07:00,13621961400,4,Ayuda,20.2.0,0,0
Sava-Marie,My printer disconnected for some reason. I’ve got it connected again but it won’t print. Way to much work for the money that was paid for the printer,us,2026-01-11T08:57:09-07:00,13621781521,1,Printer,20.2.0,0,0
tamilaaat,Cannot print straight from website,us,2026-01-11T08:52:06-07:00,13621764451,1,Wth is wrong with the setup,20.2.0,0,0
ThatBillGuy,Why TF do I need an HP account to print things from my own home?  And where TF did the setting go to print multiple per page???  I don’t really need an 8.5x11 Fn shipping label!!!,us,2026-01-11T06:54:45-07:00,13621361068,1,Minimal Garbage Probably Spyware,20.2.0,0,0
SmLooky,Es bonita la impresora tiene muchas funciones pero le toma mucho tiempo imprimir ósea le mandé a imprimir 8 hojas y se tardo más de 6 min demasiado tiempo para 8 hojas,us,2026-01-10T19:49:47-07:00,13619641391,1,Imprime,20.2.0,0,0
GameMiss,Time consuming at times better to have the app,us,2026-01-10T19:32:37-07:00,13619597033,1,Must have,20.2.0,0,0
cammiloh,i have to wait a really long time for the app to detect that my printer does have scanning capability. forcing me to force quit the app multiple times until it actually works. DeskJet 2800e All-in-One Printer series.,us,2026-01-10T18:45:52-07:00,13619472862,1,scanning issues,20.2.0,0,0
LDS.. Nana,I love HP computers and printers! I’ve never bought in all the years I’ve been using computers and printers bought any other printer then HP because they are superior to any other printer out there! How do I know if HP   is all I’ve ever bought? Because hubby has bought so many under performing printers and my is 100 times more efficient than any of his other brand printers!!,us,2026-01-10T18:19:07-07:00,13619400326,5,My HP PRINTER,20.2.0,0,0
Save effort,Not worth the price to have subscriptions mandatory. Can’t just use the printer to use and get to work . You must have all subscriptions. Epsom printer would have been better .,us,2026-01-10T18:16:34-07:00,13619393363,1,Subscriptions,20.2.0,0,0
Wpfost,Can't get the printer to print 4x6 glossy!,us,2026-01-10T14:02:51-07:00,13618711413,2,Picture,20.2.0,0,0
Trundle420,BOOOOO YOU STINK,us,2026-01-10T12:00:00-07:00,13618358190,1,SUBSCRIPTION BASED INKS?!,20.2.0,0,0
Sherrymad,I have sent fax from hpsmart and it has problems with VPN connection.,us,2026-01-10T10:50:17-07:00,13618141513,5,Prints most documents,20.2.0,0,0
Warponie Art,This will not print in color and is quite impossible to connect to WiFi,us,2026-01-10T09:50:35-07:00,13617946863,1,Worst printer do not buy!!!!,20.2.0,0,0
Turbocouch,"I can use this to log in to my account on my iPad Pro and see my printer, but on my laptop running Win11 I log in and it says I have no printers in my account. There are lengthy directions to troubleshoot how to get this corrected, but of course they disappear when you try to do what it says. I’ve had my printer for several years and it had always worked ok, once I got it setup. As a matter of fact, it worked better on my desktop than my iPad. Now it is the opposite. I have Norton 360 on all my devices and have turned off all the protection such as the two VPN’s built in. It doesn’t matter. I use my printer all the time. Now it is a big paper weight. Thanks for all the new features I can’t use. I can’t use it at all now.",us,2026-01-10T09:16:15-07:00,13617831473,1,Difficult to use.,20.2.0,0,0
Ggfcghh,"HP are consistently the worst printers I have ever worked with. Their connectivity is spotty at best, their customer support is awful, and their products just don’t work. I am never buying another HP printer ever, and possibly never buying any HP products in the future.",us,2026-01-10T08:36:00-07:00,13617691799,1,HP is Awful,20.2.0,0,0
Mrconversation616,Easy to use and excellent quality!!!,us,2026-01-10T07:56:22-07:00,13617552013,5,Needed important documents scanned,20.2.0,0,0
booykie,Way too complicated,us,2026-01-10T07:21:02-07:00,13617427545,1,Print job,20.2.0,0,0
Vintage Sunshine!,I can’t print double sided copies. I’ve adjusted the settings properly and it doesn’t work. This is very disappointing based on the price paid for my printer.,us,2026-01-10T07:01:56-07:00,13617360302,1,Double Sided Never,20.2.0,0,0
captainmorgansgirl,Does not support a lot of the Apple apps at all,us,2026-01-10T01:03:01-07:00,13616307761,1,Sucks,20.2.0,0,0
Never buy hp!,Get ready for the longest most infuriating captcha test of your life! Plus spam to buy overpriced ink for way too much!!! 0/5 stars,us,2026-01-09T19:24:39-07:00,13615525599,1,Worst captcha ever,20.2.0,0,0
m3nd3z22,My line,us,2026-01-09T17:05:13-07:00,13615127511,5,Byron,20.2.0,0,0
Pipermom10,"Confusing never print and color customer support sucks, etc. etc.",us,2026-01-09T15:11:55-07:00,13614817523,1,Never buying HP again,20.2.0,0,0
senior luvs u,Thank you for your service,us,2026-01-09T12:38:10-07:00,13614406126,5,I need black ink,20.2.0,0,0
analizarlos,"The printer does not print or print partially. The app not helpful, the printer disconnects from WiFi all the time. And when it does print it prints slowly, this printer is a pain in the but",us,2026-01-09T12:06:44-07:00,13614318043,1,Does not print,20.2.0,0,0
Denise Cooper,I’ve had this printer for years and set up the app to print wireless and it doesn’t work.,us,2026-01-09T09:56:35-07:00,13613930625,1,Just stopped,20.2.0,0,0
Barqinf,Tried 3 times. Just hard to connect to family wifi and make it work,us,2026-01-09T09:09:27-07:00,13613781629,1,Very light,20.2.0,0,0
geolehman,"This app simply will not connect to an HP 7900 printer. I’ve done troubleshooting, enabled BT. Nothing works. 

Also, the app just wants too much information online.

The printer frequently wants to printer outside its own capability into margins and content then gets clipped.

Bought a new printer because this is unacceptable in so many ways.",us,2026-01-09T09:07:33-07:00,13613775598,1,Won’t connect,20.2.0,0,0
Daninpasco,"I am so frustrated with this printer. The setup was brutal and after 2.5 hours of setup it still doesn’t work right. I’m already at 50% on the ink and haven’t printed anything yet. It’s slow and unresponsive, it’s cheap for a reason I guess. Trying to get help is fun too.",us,2026-01-09T08:57:59-07:00,13613744326,1,Awful,20.2.0,0,0
MWhfcb,Shouldn’t be so hard to print! I should be able to print without needing to download an app,us,2026-01-09T07:51:46-07:00,13613524562,1,A joke,20.2.0,0,0
Mcass,I cannot say enough great things about this app! I’m AMATURE photographer… and printing my photos has been GREAT!! 🌸🌸🌸🌸🌸,us,2026-01-09T07:24:28-07:00,13613432520,5,Wonderful!!!!!!💛💛💛,20.2.0,0,0
SugaDugaNJ,WHY?????  Can’t you just leave things alone!!!!  Obviously YOU are the ONLY ones luvin your RE-DAIFN  THE NEW APP IS “STUCK ON STUPID”AND I CAN’T PRINT IMPORTANT DOCUMENTS!!! 😡😤😡🤯😤😡,us,2026-01-09T07:03:14-07:00,13613359306,1,Wtf,20.2.0,0,0
31?vcjb la,Lo mejor de lo mejor,us,2026-01-08T21:04:03-07:00,13611829810,5,Amo la app,20.2.0,0,0
Shi Shi Ross,"Loved how easy it was to scan a document and send it to email! 

I’m loving my HP Smart Tank 5000 all in one printer.",us,2026-01-08T19:48:02-07:00,13611663981,5,First time scanning a document,20.2.0,0,0
barkbwrkbwrkbart,doesnt register the difference between letter paper and photo paper now??,us,2026-01-08T19:01:56-07:00,13611554564,1,degraded after it got updated a few months ago.,20.2.0,0,0
User 7429,"This app worked great previously but all I get now is. Printer asleep message, repeatedly even when the printer is not asleep.",us,2026-01-08T18:42:11-07:00,13611505793,1,Sleepy printer,20.2.0,0,0
???!!12.!!,Lo mejor que puedes tener en tu oficina o en casa es una impresora y plan HP te facilitará la vida,us,2026-01-08T17:47:43-07:00,13611366834,5,HP 100%,20.2.0,0,0
Lamont2,"Just got this app. So far, so good. I am pleased.",us,2026-01-08T17:37:08-07:00,13611339648,5,Good,20.2.0,0,0
TJFitz00,It just keeps working and working and working!,us,2026-01-08T16:14:58-07:00,13611129418,5,Ancient OfficeJet,20.2.0,0,0
Ismashyou,"I had a lot of difficulty trying to get it to connect to my Internet. I don’t want to blame HP, but then it wouldn’t allow me to log into my account eventually it finally just said OK go ahead and scan something so I did and it worked but I’ve had the scanner for a few years. My child finally gave it back to me so to reconnect it seemed to be a fiasco. It probably would’ve been fine if I connected it to my own stuff in the beginning. But it’s still working years later so.",us,2026-01-08T14:52:45-07:00,13610918694,5,After a little while it works,20.2.0,0,0
S.M.68,"When I hit preview to print my photos, it moves the picture to the right and crops out the right side. It won’t let me just print the full picture.",us,2026-01-08T14:25:49-07:00,13610849426,2,Photos Print Weird,20.2.0,0,0
TahoeMommy,The printed items are so light they are unreadable even with brand new ink. Unable to print at all without a monthly subscription for what I’m not sure? Absolutely the most ridiculous printer I have ever owned. Would not recommend to anyone.,us,2026-01-08T13:32:59-07:00,13610709369,1,Unreadable,20.2.0,0,0
5 mobcity,"Amazing, makes things a lot more easier",us,2026-01-08T13:29:15-07:00,13610699476,5,100% satisfied with the product,20.2.0,0,0
Joe Tyke,App is hard to figure out,us,2026-01-08T10:53:35-07:00,13610260948,1,Cant figure it out,20.2.0,0,0
eric.mock,"Last se real times, connection has failed.  I use the scan often and it fails to open.  I’ve closed out the app and still no success.",us,2026-01-08T07:25:44-07:00,13609606344,5,App is not working well,20.2.0,0,0
Yaddagirl,"Printer is great when everything is working correctly. However, I have frequent issues with my printer going off-line. So I have to troubleshoot everything and restart everything and it is a major inconvenience.",us,2026-01-08T06:36:43-07:00,13609443949,3,Offline Printer,20.2.0,0,0
J.A.M.6.9.8.9,Love the results I get from this home printer.,us,2026-01-07T18:42:26-07:00,13607631169,5,Best printer,20.2.0,0,0
DiStaten,"I’m able to print from other iPhones and IPads. I noticed my version on my phone is 20.2. On other devices it’s 21.0.2.  It took hours but I was able to connect to the printer, but when I select it to print, it goes away.",us,2026-01-07T16:43:26-07:00,13607317225,1,Can’t print from IPhone 17 Pro Max,20.2.0,0,0
Gfvtgtrhterhdtrd,Goood app,us,2026-01-07T14:44:40-07:00,13607007827,3,Jt,20.2.0,0,0
DarkSilenceWolf,"Scam printers scam company, there ink costs more than blood. look it up",us,2026-01-07T13:26:20-07:00,13606797656,1,Scam company,20.2.0,0,0
rootulp,Many errors while setting up new printer,us,2026-01-07T13:23:48-07:00,13606790559,1,Many errors while setting up new printer,20.2.0,0,0
Buttercupluv_2,I enjoyed my app and printer,us,2026-01-07T11:32:09-07:00,13606474348,5,I love it so amazing that I made the right choice. Thank so much.,20.2.0,0,0
Junkyard 11111,Can’t get paper to feed,us,2026-01-07T10:49:48-07:00,13606347772,1,Setup sucks,20.2.0,0,0
Stupidly Complicated,Why do I need a PhD in Information Technology in order to scan something on the new printer?,us,2026-01-07T10:43:14-07:00,13606328045,1,Too Complicated,20.2.0,0,0
It’s great and cool,I wish I had this printer earlier. I love the fact that I can send faxes from the comfort of my home. Very convenient and reliable printer.,us,2026-01-07T10:30:19-07:00,13606288910,5,Perfect gift,20.2.0,0,0
Raghav 3747,Connection keeps getting disconnected,us,2026-01-07T09:29:21-07:00,13606101008,1,Connection,20.2.0,0,0
aeeskme tlo,"Screw your business model. - let’s have an app that can tell you all the details about your printer except the type of ink you need. Instead, we’ll have an option for printer supplies- and when you click on it, it will bring you to sign up to send us more money. We will offer to send the ink, they also have to pay for, automatically. And never ever tell them what kind of ink it is they need. Hahahaha
Hp is probably the worst company ever created. Your apps suck. Your printers suck. How is it, I have a printer on the hp app, and when I click to manage more settings for it, it takes me to a page that says I don’t have any printers!??? Hp sucks",us,2026-01-07T09:09:17-07:00,13606038215,1,Not surprised,20.2.0,0,0
like4noobplz,"Great app, with awesome and free featuresadey life much easier, since I dont have to carry my laptop around, but just hit a few clicks on my phone screen, and voilà!",us,2026-01-07T07:22:17-07:00,13605692916,5,Printing possibilities,20.2.0,0,0
JanieElise,User friendly and super convenient,us,2026-01-07T04:22:11-07:00,13605106680,5,Easy!,20.2.0,0,0
Ramberg11209,I love my printer.,us,2026-01-07T04:14:51-07:00,13605084972,5,Printer,20.2.0,0,0
Ixsvette,Excelente producto,us,2026-01-07T00:34:37-07:00,13604542592,5,HP DESKJET 4258e,20.2.0,0,0
Aarav gasboy,Easy to use and nicely made,us,2026-01-06T21:11:45-07:00,13604121688,5,Great,20.2.0,0,0
aldenlisa,Every time I go to scan some thing or do something my printer has an issue and I just got it !! I wish the products would work every time when you go to use it,us,2026-01-06T18:41:53-07:00,13603776661,1,Always problems,20.2.0,0,0
Cmd222,"3 hours in, 3 grown (technical adults) and still not printing. Can see ink levels in the app though :/",us,2026-01-06T18:23:01-07:00,13603728977,1,NOT easy setup,20.2.0,0,0
Carlatwo,"Good         Afternoon 
Good work",us,2026-01-06T18:04:36-07:00,13603681610,5,Hp,20.2.0,0,0
SV_00_^,The new app is MUCH  worse. I can no longer send faxes. The app is so different it should really have a new listing instead of riding on the coattails of the previous version. The high ratings are actually about the old version. The low ratings on the newer version become obvious if you sort by most recent reviews.,us,2026-01-06T16:10:13-07:00,13603386904,1,App update takes away functionality secretly,20.2.0,0,0
Charlie55678,THIS WORKS SO EASILY but they need to add more text for what to type as a password,us,2026-01-06T14:29:09-07:00,13603129042,2,It’s good if,20.2.0,0,0
kc4ua,Terrible to have to go through the app when i used to be able to connect from my phone Bluetooth! I am throwing this brand new printer in the trash!,us,2026-01-06T14:25:17-07:00,13603119060,1,Doesn’t work,20.2.0,0,0
GE Taxman,The Greatest!,us,2026-01-06T12:41:44-07:00,13602837669,5,HP Color laser jet,20.2.0,0,0
Crest Willow,Could use some work on your website,us,2026-01-06T07:45:09-07:00,13601934354,3,Website,20.2.0,0,0
jofusey,"HP is a predatory company with no customer service like at all. The fact that they rely on a customer based support group to provide all their customer service should tell you enough. HP: make products that actually work, stop charging subscriptions to connect devices, stop stealing.",us,2026-01-06T06:15:21-07:00,13601643291,1,Better than desktop ig,20.2.0,0,0
starr2133b,This app doesn't nit work properly with Iphone 15,us,2026-01-06T00:43:52-07:00,13600742865,1,Horrible,20.2.0,0,0
Estuvo un poco mucho dificil,Primero lloré porque no me dejaba conectarme o imprimir pero luego miré un video y se me hizo más fácil,us,2026-01-05T21:13:34-07:00,13600309808,3,Un,20.2.0,0,0
Cutise1,"Excellent job on printing prints, glossy, borderless and vibrant",us,2026-01-05T16:35:14-07:00,13599630629,5,Prints,20.2.0,0,0
ju ju foodie,Sucks,us,2026-01-05T12:47:45-07:00,13599020965,1,Difficulty,20.2.0,0,0
Stephen Matthews,HP is making me pay for and ink plan I don't need just so I can use my printer.  I will NEVER buy an HP product again because of this.,us,2026-01-05T12:04:46-07:00,13598896431,1,Terrible service,20.2.0,0,0
koinestudent,"Horrible app. When I go to print my documents from Word app, the margins and font are changed and what is meant to be a one page document turns into a jumble mess of four pages.",us,2026-01-05T11:18:39-07:00,13598759514,1,Enlarges document,20.2.0,0,0
Littleshoe1206,"I will never ever ever buy a HP printer again! It is always off-line and never available to print when you need it. Takes me 15 to 20 minutes every time I’m ready to print something to get it back online. FYI, this is my third one never again",us,2026-01-05T10:27:11-07:00,13598601371,1,The worst,20.2.0,0,0
Nickname 10A,This is broken. It finds the HP printer but won’t print anything.,us,2026-01-04T20:38:27-07:00,13596311835,1,Doesn’t do the one thing it needs to do. Which is print.,20.2.0,0,0
suz.spins,Otherwise I’m satisfied,us,2026-01-04T19:23:30-07:00,13596130247,4,"Set up installing ink cartridges & 
 connect to phone difficult",20.2.0,0,0
Hdjsbdv,App is slow and glitchy.  They really want to hook you on instant ink.  Kinda wish I went with a different printer.,us,2026-01-04T17:51:11-07:00,13595886245,1,Slow,20.2.0,0,0
Hp poor,"Printer only capable of printing sheet by sheet, good luck if you have multiple pages to print bc the printer is sooooo picky only 1 page",us,2026-01-04T17:40:54-07:00,13595858659,1,Impossible to print,20.2.0,0,0
Marcus Lydell,just purchased this HP printer and it’s so easy to set up and use than others I’ve tinkered with. Great Job HP!,us,2026-01-04T16:40:35-07:00,13595696591,5,User friendly,20.2.0,0,0
Kittikatt60,"01/04/26 Update:
They run constant updates to keep you from buying compatible ink! Their Ink cartridges aren’t full, (Just like Epson BTW, have one of those too)
& Still no option for a double-sided scan. SMH! 

03/2025:
Gave it a 4 star rating because they still don’t offer double-sided scanning. Pretty ridiculous in this day & age of technology.",us,2026-01-04T15:42:05-07:00,13595540410,2,$$ INK & No double-side scan option,20.2.0,0,0
Thaís e Malu,"A impressora é otima, um pouco lenta por ser jato de tinta, mas a qualidade é muito boa. Para uso doméstico está excelente. Recomendo a compra !",us,2026-01-04T14:27:13-07:00,13595336330,5,Ótima impressão,20.2.0,0,0
Anand Sjj,Very slow printing and takes time to connect,us,2026-01-04T14:07:56-07:00,13595282786,1,Not printing as expected,20.2.0,0,0
