title,review,rating,userName,date,version,country
Problemática la aplicación,Desde el principio fue complicado ya tengo registrado el printer y no funciona. Es la primera vez que me pasa con un printer.,2,Bonita Gatiña,2026-01-05T10:30:30-07:00,1.22.1,us
Print options,Difficult to use.  Must reconnect manually each time I print. A waste of time and money!,1,Rehabdr,2026-01-03T06:24:21-07:00,1.22.1,us
So easy,So easy to use! I usually struggle with technology but no issues with this one!,5,ffghjhvg,2026-01-02T08:02:27-07:00,1.22.1,us
A little to hard with the push for subscriptions,Simple app. But the push to want you to sign up for a subscriptions is unhinged,4,SiiBizzle3,2025-12-30T21:00:46-07:00,1.22.1,us
"Error when I hit click scan, no clear solution on website","Overall, this scanner has been great and initial set-up was easy. Lately, I keep getting a connection error when I click scan that says “Cannot Connect
Make sure your machine is connected to the same network that the mobile device is connected to.” However, both devices are connected to the WiFi. The app is fully updated. I can’t seem to find any info on how to troubleshoot this on the website and wasn’t able to find what the current firmware should be.",2,Nicole_review,2025-12-29T13:53:03-07:00,1.22.1,us
Brothers is the Best,"2nd Brothers printer I’ve had with a long shelf life.  Great product, great price.  I’m a fan for life.",5,NystaMecha,2025-12-27T17:23:35-07:00,1.22.0,us
Ended support for older phones,"Everything worked fine until a forced update that ends support for older devices. There’s no good reason to make working devices suddenly obsolete and prevent installed printing and scanning software from operating as it had before. Aside from that, I love my Brother printer, which is weird to say because every other printer I’ve owned or used has brought angst. This printer works beautifully, conveniently (besides needlessly deprecating my old phone), and reliably. The printer has been an actual joy to use, without all the four-letter words that accompanied every 10th print job with my old Canon printer. The software on PC and mobile works pretty well, but I wish I could still print and scan with my phone and iPad—it’s ridiculous that I now can’t. 
* I’d like to add that it’s weird that the app on my Windows PC is iPrint&Scan, and there’s an app of the same name for iOS that somehow doesn’t support my printer. The differentiation between this and that app is unclear and confusing, plus maddening that I can no longer use either.",2,Dalianguy,2025-12-20T18:05:25-07:00,1.20.1,us
Not getting IOS 17!!!!,Make this app still useable for those of us who don’t like to be forced to buy a new phone just to use it !!!  I cannot upgrade or buy a new phone just to use this app !  It’s not right,1,Staple22,2025-12-19T10:31:04-07:00,1.20.1,us
i just want to print,this is the worst app and printer if you’re the type of person who doesn’t want to sit there and wait for the app to load for 30 minutes just to shut down the second you switch pages trying to make an account. i know toddlers that can program better,1,coal h,2025-12-16T11:41:34-07:00,1.22.0,us
First printer app,Really helpful and easy to set up,5,VexingFall,2025-12-14T21:20:19-07:00,1.22.0,us
This software is ridiculous,Why can’t they make a printer in 2025 that just works?,1,Expeditions Alaska,2025-12-13T20:43:30-07:00,1.22.0,us
Will not connect to multiple devices,Horrible connection abilities!!,1,Cannotuseanynickname!!!,2025-12-11T14:30:14-07:00,1.22.0,us
TERRIBLE,Personally had a lot of issues with the printer like it would print but without the picture basically an empty paper sometimes it just wouldn’t print but the quality of printing like the picture is really good when you print it just wish it didn’t have these issues,1,JustJumana,2025-12-11T04:50:49-07:00,1.22.0,us
Hate everything now,App used to work great then they wanted me to update the printer firmware. I did that. Then the app printing icons went away and it constantly says the printer is offline. I started to have issues printing from my laptop as well at the same time-obviously not app specific. I wouldn’t suggest this setup to my worst enemy at this point.,1,Angietsalagi,2025-12-10T23:35:11-07:00,1.22.0,us
so bad,listen. can you please test your own app? i tried to do a firmware update but the keyboard on the iphone is in the way. did u even test the ability to do the firmware update on ios? and why there is a password needed for a firmware update is just bizarre.,1,Joe a527,2025-12-08T10:09:23-07:00,1.21.5,us
UX Flaw w/ Subscription Offer,Added too much friction to app/printer use because of multiple subscription screens user is required to click through to use an already purchased product. Terrible UX decision.,1,LimaBeta05,2025-12-05T18:42:35-07:00,1.21.5,us
Management,It’s a great printer top tier,5,Lords wheel press,2025-12-03T22:04:34-07:00,1.21.5,us
Common Issue,ALWAYS HAVE ISSUES PRINTING OVER WIFI,1,jumpnjacks,2025-12-01T11:55:05-07:00,1.21.5,us
Hate this printer,"Have to reset every time I use it, when it works",1,old floyd-head,2025-11-30T17:40:42-07:00,1.21.5,us
Brother printer is exceptional!,"I purchased my first Brother printer after years of using the competitor’s brand. I will never go back. I have the MFC-J4335DW model and it is outstanding for print quality, size, capacity of toner cartridges, and speed. I am sold!",5,Dr Afm,2025-11-30T01:01:56-07:00,1.21.5,us
Disconnect from internet,Very poorly designed app. I had to delete and reinstall to set up the internet again. It would not connect to the internet and not print.,1,war1444,2025-11-29T15:30:43-07:00,1.21.5,us
Not Intuitive Setup,"Had to go through the full setup process on phone and then again on tablet since there is no simple login. Also not straightforward to setup. Printer has to be manually added despite already being connected to the same network in advance.

This printer is also extremely unreliable. I can rarely just print a document from my email, even when I’m standing right next to this printer. I regret “upgrading” to this extremely heavy hunk of trash.",1,shanda.tx,2025-11-28T07:58:46-07:00,1.21.5,us
DCP-L2640,"Just purchased this combo printer. I am no Neanderthal to computers and have  used and set them up for 40 years or so   Forget what you see on YouTube. I have been playing with the setup of this machine for 5 hours now and I have not finished the process. If I get 1 more of their 50 or so attempts to get me to press the wrong button and subscribe to their toner service (shame on them), I’m going to return this darn printer. It is very difficult to setup. In this day - it should be plug and play.",1,Want accept nickname,2025-11-26T12:38:17-07:00,1.21.5,us
Easy Peasy,Brother has made printing from my phone easy and convenient!,5,Infinity J30,2025-11-25T14:41:25-07:00,1.21.5,us
Can’t print because you disabled the app!,Why do you disable the app just because you made an update that won’t run on the version of phone that it was running on?  Now I can’t print at all!,1,K S ...,2025-11-21T13:57:26-07:00,1.20.1,us
Inconsistent,"The printer connected to my Macmini and an older iPad, but will not recognize my iPadPro. I’ve tried all the suggestions form Brother and others, but IT WILL NOT WORK.",1,Kanak05,2025-11-18T12:33:36-07:00,1.21.5,us
cartridges,"Every time I try to buy cartridges, I can't do it the first time. Neither through the app nor through the website. After filling out the details, the payment simply doesn't go through. The first time, I got it right on the fourth try, and today I tried six times, but it still didn't work. It's incredibly inept.",1,dmitry-22A,2025-11-15T21:27:41-07:00,1.21.5,us
No contecta,"Intenté muchas configurarla y no me sirvió, encontraba la impresora pero tan pronto la iba a añadir a la aplicación nunca sirivio",1,Juancamil,2025-11-14T11:38:48-07:00,1.21.5,us
Won’t run 1 late download,"Running off the download below 17 ios, and it won’t run. Would have to update phone in order to use the app now, won’t be doing that, like the phone the way it is. 
Please let the software run off the old ones please",1,Red Mauna,2025-11-10T15:52:59-07:00,1.20.1,us
Mobil Connect,"Easy to use, great app!",5,BuddhaJim2025,2025-11-09T14:17:25-07:00,1.21.5,us
Did not work. At all,"After messing around for 30 minutes in which it never found my network, and getting redirected to ""help"" pages ending with ""use the app"", I finally pushed the settings button and did it manually.",1,Greg Pf,2025-11-08T14:56:17-07:00,1.21.5,us
I can write faster,"I usually spend 4-5 hours trying to connect. Now it’s asking me to download an updated app, so I go to the app and it says to update the app.",1,Theyreallltaken7542589513799,2025-11-07T07:56:49-07:00,1.20.1,us
This is garbage,"The designer of this app needs to resign.

This is incredibly cumbersome to use.  It is not intuitive.  It is faulty.  It doesn’t work.  I hate that I bought this brother printer.",1,Cuppa app needs work,2025-11-07T07:02:52-07:00,1.21.5,us
Subscription annoyance,Very annoying processing trying to force subscription to,1,FlyoverPete,2025-11-07T04:06:54-07:00,1.21.5,us
Used to work well,"The app used to connect and print easily, since several updates, it seems there are more bugs and does not maintain connection as easily",1,Anonymous nonono name,2025-11-06T21:26:44-07:00,1.21.5,us
Perfect,Exactly what you expect. Wakes printer and prints documents flawlessly.,5,dda4121,2025-11-06T19:15:33-07:00,1.21.5,us
Doesn't support print over internet,"Buggy, slow, and relies on local network to print. Unlike other printer manufacturer apps, this one cannot print over internet",1,gsuemtur46e8,2025-11-01T06:09:37-07:00,1.21.5,us
Terrible,"Does not work, extremely slow and hard to connect my printer to WiFi.  Do not recommend these printers.",1,Dylanrich77777,2025-10-29T06:33:45-07:00,1.21.5,us
It works half of the time,It hardly connect to the WiFi,1,Lulu’s print,2025-10-28T13:14:35-07:00,1.21.4,us
Brother printer,Amazing printer easy to setting up and work as champ,5,Jrod8183,2025-10-25T17:32:41-07:00,1.21.4,us
So helpful,"Alhamdulilah this app exists, I’ve been trying to print my documents from PC for 2 hours straight and it never worked, it’s already 3 am and I have lectures tomorrow. Now I’m so reliefed that my documents are printed and I can peacefully sleep.",2,Nomio05,2025-10-25T16:37:49-07:00,1.21.4,us
Connecting,Cannot get the printer to connect to laptops or phones,1,MF9324,2025-10-19T07:26:11-07:00,1.21.4,us
Very intuitive,Very easy to use and access files previews and documents and photos love it!!!,5,Jswizzle45,2025-10-16T14:03:14-07:00,1.21.4,us
Update,I can’t use my printer from my phone anymore. The update is for iPhone 17 or newer. I have an older iPhone and it hasn’t updated to 17… So Im paying for ink every month for a printer I can’t even use,1,Sweets🤤,2025-10-16T12:53:11-07:00,1.20.1,us
Why?!,"When I print from my computer, it prints on one side of the paper. When I print from this app, it prints from a different side of the paper. I use pre-hole punched paper… so I have to either flip the paper over every time I switch devices or except that it will be on the wrong side of the page when I print from the wrong device. It’s infuriating.",3,Soapy Stark,2025-10-15T16:30:11-07:00,1.21.3,us
"My printer is on, but it won’t print","My phone is connected to the machine, but still it will not print items on my phone that I’m asking it to print",1,Stacyg29,2025-10-15T14:12:18-07:00,1.21.3,us
Garbage,I can connect to my printer instantly on an app that I have to pay for but the app made for this piece of junk doesn’t even want to connect garbage company,1,Inthra,2025-10-14T07:48:50-07:00,1.21.3,us
Dont like subscription model,You shouldnt need subscription for ink,2,David474747,2025-10-14T04:22:36-07:00,1.21.3,us
Horrific,Impossible to connect to,1,prediker,2025-10-13T06:07:16-07:00,1.21.3,us
Object to payment policy,I refuse to subscribe to a printer program that has automatic charges for supples or services.,1,old oaks,2025-10-11T13:36:20-07:00,1.21.3,us
App issues,"It keeps asking for an update, sends me to the App Store, where it says it’s updated.",1,Kaydone2077,2025-10-10T07:14:00-07:00,1.20.1,us
Printing made easy,It is a dry ink so it doesnot dry out and clog everything. So far so good,5,bbbobby21,2025-10-09T20:17:28-07:00,1.21.3,us
Won’t link,It falls off line and I play hill trying to get it back on,2,Fighter RIO,2025-10-09T12:27:07-07:00,1.21.2,us
trash,Apparently the application thinks it knows what my email is. The developers should work more on this since this isn't the first time this has happened to me.,1,Bbb. Bbnnb,2025-10-08T16:17:01-07:00,1.21.2,us
Useless.,Not user friendly. Not common sense. Not walked thru install.,1,Vance2019181716,2025-10-06T21:09:51-07:00,1.21.2,us
Too aggressive with offers to sell ink,"Almost every time I open this app, a pop up appears trying to get me to sign up for an ink subscription.  STOP!",1,TeeBoune,2025-10-05T18:05:42-07:00,1.21.2,us
Garbage,App is garbage and despite doing exactly as described the app and printer don’t talk. Worthless.,1,Cirala42,2025-10-02T10:22:24-07:00,1.21.2,us
I thought it was smooth sailing,"Crashes when setting up my T430W when the app is on the Set Your Machine Password 

Sad",2,Pogz O,2025-09-30T07:31:37-07:00,1.21.2,us
Not so good,"I’ve been trying for the last 30 minutes watching videos as to why I can’t get my printer to connect to my phone and nothing works, I’ve tried to make sure both my phone and the printer are connected to the same WiFi network and nothing, tried with the printer ip still nothing. Waste of time.",1,Zawmbieee,2025-09-26T10:45:54-07:00,1.21.2,us
Love this printer but the app needs to update,I love my printer but I’m unable to use it now due this app requiring iOS 17 or later. App needs to be updated or fixed so I can use my favorite printer. Before the app was working perfectly for me. Please fix. Thank you.,4,Tinaloks,2025-09-26T08:10:19-07:00,1.20.1,us
What the actual…,"Home Printers across the board are terrible. I bought the HL-L2405W for the sole purpose of having a basic laser printer at home to print the occasional thing…avoiding an ink jet as they constantly dry up and you spend a fortune on ink to print 3 things a year. The app however just doesn’t work. I think it’s just not able to deal with modern WiFi protocols between the printer and the app and you can’t ever get apple AirPrint to work and now I can’t even get the printer to work on this terrible brother app. Can someone just make a basic printer on this planet that actually works. Ok, done rant. Now to go back to trying to connect the printer for the thousandth time…",1,Garden Will,2025-09-25T12:20:39-07:00,1.21.2,us
Brother mobile connect,It’s a good app and easy to use,5,Rhyder227,2025-09-24T22:28:37-07:00,1.21.2,us
Waste,"This app is a waste of time. Spent 30 minutes, jumping through all the hoops to use it to connect wirelessly with my phone so I could print documents. It never worked.",1,Jeremy Joeface,2025-09-24T16:36:58-07:00,1.21.2,us
App doesn’t work with my printer,Brother Support directed me to use the iPrint&Scan app but it sends me to the Brother Connect app which won’t authenticate to my Brother laser printer.,1,SumDuud,2025-09-24T10:37:01-07:00,1.21.2,us
Would not recommend,"Brother printers and the app are extremely buggy, unless you are extremely tech savvy I would say it is a huge headache and point of frustration.",1,JH*123*,2025-09-24T09:09:24-07:00,1.21.2,us
Works fine.,"Works quite well. I had a little trouble setting it up, but it might just be me. I've used Brother printers for at least 15 years and I am quite pleased.",5,Opie99,2025-09-23T16:16:14-07:00,1.21.2,us
Awful,Never connects,1,Projectmayhem13,2025-09-22T05:14:45-07:00,1.21.2,us
App doesn’t help,The app doesn’t help. I’ve spent endless time trying to connect and it does nothing but give different loading screens. Let me save you the time: DONT buy a brother printer and DONT bother with this app,1,JonathanB2025,2025-09-19T13:53:23-07:00,1.21.1,us
Worst app ever,This thing is a joke. It’s super slow. It takes forever to get to any page to make edits or literally anything. It’s impossible to navigate. I try to update my Ez refresh ink subscription and I have to click log in about 20 times before it finally lets me log in to make edits and all the while the loading circle of death is staring me in the face. Such a horrible app truly and a waste of time.,1,Tink1513,2025-09-19T08:41:07-07:00,1.21.1,us
Connect,Printer does not connect to devices,1,Alaska printer,2025-09-18T16:03:54-07:00,1.21.1,us
Np PDF support,Does not scan to PDF,1,NoNoPDFs,2025-09-18T12:27:56-07:00,1.21.1,us
Clunky controls,Actually love the printer - the app needs work.  Clunky controls with no realistic print preview - just a preview of what you selected.  You cannot control layout. You cannot add pics to same sheet of paper which allows for huge waste of an expensive resource. Easy to lose pics selected if you try to add more.  No real use logic. The app is OK if you choose 1 pic and don’t care about waste or making any changes.,2,krazybcuz,2025-09-16T09:29:25-07:00,1.21.1,us
Much easier than I thought,"I have been afraid to try scan with my new printer because I am not very good with technology or equipment. However, this took me five minutes and was so easy. I would definitely recommend Brother to all my friends and family",5,Kai&Kandi,2025-09-15T14:36:40-07:00,1.21.1,us
Complicated mess,Don’t buy,1,renzo198,2025-09-13T13:18:25-07:00,1.21.1,us
Awful. Limited,The options are so few it’s useless.  Stops you from using better print and scan. Deleted.,1,Bookreader0312,2025-09-08T19:13:08-07:00,1.21.1,us
Can’t enroll in Refresh; Inadequate Support staff,"I’ve tried on 4 occasions to enroll in the Refresh ink program, bot via the app and browser but have been unable to complete - or even start - an order process. Chat and telephone support doesn’t respond and says 2 hours wait time. The ink is outrageously expensive retail, so I do wish to enroll. Also, the app has an old address which I have been unable to update. All I’ve been able to do is register my new product.  Very frustrated with Brother!",1,Coszh58,2025-09-08T17:56:00-07:00,1.21.1,us
No rifle,No clear directions on how to connect printer to the Wi-Fi,1,WHALER man 13 x,2025-09-07T17:25:42-07:00,1.21.1,us
Junk,Don’t buy brother there junk copiers,1,Craig kolakowski,2025-09-04T19:57:01-07:00,1.21.1,us
Software refuses to download,"I've been really pleased with this printer and everything about it up until recently, when the app decided to stop working. When i open it up, it says i need to update the software, so i click into the apple store, where it shows no update being available. As a result, I can no longer use my printer. Yay 😡💢😤",1,Pjlgnridb,2025-09-04T08:32:43-07:00,1.20.1,us
Picture cropping,"When choosing to print a picture to crop, this process could be improved (it doesn’t allow to shift the picture so everything is included).",4,Debs725,2025-09-02T13:26:00-07:00,1.21.1,us
Terrible,Standing next to my printer both on the same network and will not print!,1,SimplyKish,2025-09-02T10:33:20-07:00,1.21.1,us
Can’t use it anymore,"My phone is now too old to use the app, as an iPhone 8+.",1,Quartz_Crystal,2025-08-27T17:15:37-07:00,1.20.1,us
Always Got Problems,"I don’t print every month but when I do,  ALWAYS have problems.   I just need a printer to print.",1,Douge dog,2025-08-27T16:39:41-07:00,1.21.0,us
My new printer,Just received my Brother printer and I love it. It performs well and much faster than my others. And it’s quite. Great buy! Thanks,5,edxbook,2025-08-25T22:05:57-07:00,1.21.0,us
Can’t scale the print,"Pain in the liver to print from phone gallery. I had HP envy, replaced it with brothers, and printing a shipping label from phone is awful. Would be nice to have scaling",2,hkri9,2025-08-25T17:09:29-07:00,1.21.0,us
Pretty lame,Has no specifications on resizing a picture before printing. No way to Print an exact size.,2,Law and Liberty,2025-08-25T14:39:57-07:00,1.21.0,us
This is a very nice app,"I have rated it 1 star because it doesn’t support enough Brother models. My printer is not particularly old, but I’m relegated to the vastly inferior iPrint&Scan app. If a printer has sufficient firmware API to be managed by the older app, it can be managed in THIS one (even if all features are not available). Do better, Brother",1,akaSkitch,2025-08-24T13:58:12-07:00,1.21.0,us
Scans should save automatically,"I would rate this app higher, but for my needs, it’s been terrible. I just wanted to scan some photos but on multiple occasions, the app simply forgets what you scanned, and they will disappear without a trace. Leaving you to restart however many photos you just scanned. I’m very disappointed and I don’t understand why this is happening. There should be some kind of a history where I can see what I scanned even if I didn’t save it right away. I really hope you fix this. I’ve always considered Brother to be one of the best brands for printers. I made the conscious choice to buy your printer over the others and I’m regretting my choice at the moment.",2,Shazam3,2025-08-24T10:22:20-07:00,1.21.0,us
sucky,Not intuitive for setting up.,1,Ukrainian Butcher,2025-08-23T11:04:59-07:00,1.21.0,us
Doesn’t support my older iphone,"Now ios 17 is required, this app no longer supports my iPhone 8+. Very disappointed! I have resorted to using Brother’s iPrint&Scan app, which has almost no controls.",1,Carole_fon,2025-08-22T20:57:45-07:00,1.21.0,us
Fantastic printer,"I have owned sour preachers. This is for the best printer that I have ever owned. 
It works perfectly in  my home office and mobile phone. I highly recommend this printer.",5,GWhite273,2025-08-22T14:26:54-07:00,1.21.0,us
Won’t allow address change from USA to Portugal,"I purchased MFC-L4740CDWE printer and installed in Porto, PT using Brother Mobile Connect. Worked beautifully for a month.  Required update installed today (22-08-2025).  Disconnected from Net. Changed my billing and shipping address to never-used previous US address. Will not allow me to change back to new Portugal address in profile or elsewhere.  No person to talk to. No chat available. No helpful links provided.  Please help!!!",1,Waterboy AQP4,2025-08-22T14:20:28-07:00,1.21.0,us
Infuriating,"Upon launching for the first time, the app hits you with several pages for account login, subscription sign-up, discount codes, and more. It opens web pages with pop-ups galore. Only after wading through all this do you get to find your printer and manage it.
I only wanted to use this app to update the firmware on my printer, and it failed at that.",2,GreenSoju,2025-08-20T19:51:19-07:00,1.21.0,us
Worst app ever.,I’ve never had so many issues. Before I downloaded the app. Printing was easy. Except for the f-ing doom sleep it’s like the printer is doing elicit drugs. But now that I have the brother app. I can’t print ANYTHING. absolutely the worst app the worst printer I’ve ever owned. About to go full office space on this printer. DO NOT BUY ANYTHING BROTHER.,1,Spencertheass,2025-08-18T18:03:19-07:00,1.21.0,us
Not so impressed,When I try to upgrade the firmware it keeps telling that I need to make sure it is connected to my WiFi correctly so I manually enter the password on the machine but it continues to request to make sure it’s connected correctly,3,we are Norwegian,2025-08-18T12:44:01-07:00,1.21.0,us
Buggy app,I bought the mfc new laser printer in USA. The app is having serious performance issues issues in login and activating the the device and .It’s very frustrating . It make the app not usable,1,Mseawks,2025-08-16T12:11:06-07:00,1.21.0,us
Don’t buy,The ink is a nightmare,1,Avalancher235,2025-08-09T13:49:50-07:00,1.21.0,us
Brother Cheats,"Offered 30% off if I accepted app and registered and then overcharged me for ink with no discount, Searched and found  buried in after the fact fine print that I’d have to order subscription for ink to qualify for up to 30%. Used to be a good company; now just a ripoff.",1,LinderDono,2025-08-07T08:31:56-07:00,1.21.0,us
Worst interface ever,Constant battle,1,gitchda,2025-08-07T07:15:38-07:00,1.21.0,us
Super Buggy and annoying.,Every time I open the app it says “processing” and just stays there. Right before that I was trying to print something and and it continued to load endlessly. It’s a shame in 2025 a printer that’s easy to set up and use seems to be an unreasonable expectation.,1,slushy687,2025-08-07T06:45:45-07:00,1.21.0,us
Brother mobile printer setup,The setup was very easy. I watched a video on YouTube and within minutes it was setup. I am very happy,5,cobragirl555,2025-08-06T11:21:46-07:00,1.21.0,us
New app is junk,The app doesn’t pickup the printer automatically like the old app. Photo printing doesn’t give paper type selection or size like the old app. Junk…,1,Long time Bro user,2025-08-04T21:09:51-07:00,1.21.0,us
No option for older version than iOS 17,This latest update doesn’t allow those of us with iPhone X to access the app anymore.,1,NYCgenX1974,2025-08-03T19:40:45-07:00,1.20.1,us
Don’t get the app but a new printer,These printers ducking trash to set up or even manage,1,Yourbigfatmomdj,2025-07-31T05:51:59-07:00,1.21.0,us
Doc feeder scans can’t be saved as a single file,"The Mac app operates as expected: If you scan multiple pages using the document feeder, you can save them as a single multi-page pdf. On this app, it will only save as multiple files, one for each page. Also, why doesn’t this scan in duplex (IOs or Mac)? It’s a duplex printer (DCP-L2640DW), so the hardware is willing, but the software is deficient.",1,Scanning is poorly supported,2025-07-29T17:52:15-07:00,1.21.0,us
Frequent Connectivity and Updating Problems,"This expensive for me all in one Lazer printer has very frequent connectivity problems (though this printer has it’s own little private slice of the WiFi pie, so to speak) and it has frequent required updating problems which will not update from the app that it sends me to, which is the very one that’s been already downloaded from the beginning, and I get frequent adds whenever it updates seeking for me to purchase ink and paper, but I already bought such a membership for these needs at the store( cost me an extra 100.00-$200.00, where and when I bought it in Dec 2024 or Jan 2025. These frequent required updates and frequent connectivity problems will prevent it from working as a scan and fax and print for days at a time when it will only do copies, while my other devices are online and working just fine. Now, July 2025, when trying to scan from the printer and send via email, it is showing that it now requires an iPhone 17.0 or higher when my iPhone 8+ is 16.4, so this expensive all in one Lazer printer will no longer print from my iphone at all!",3,ladyteacher2013,2025-07-27T17:22:55-07:00,1.20.1,us
Extremely hard to set up,I have had 3 people trying to set up my new Brother Laser printer/scanner DCP-L2640DW.  We still can’t get it set up. I even have it hard wired into my computer and it will not acknowledge it or my wifi or my email. I am totally unhappy with this product.,1,Lg_Kid,2025-07-27T08:04:52-07:00,1.21.0,us
Just says update required but there is no update being offered,"App says you must update ... Iphone app store has no update to download so it's says ""open""... Open app ""sorry you must Update""

There is a bug in the matrix and Brother do I know it!",1,LAscooterReview,2025-07-26T11:32:16-07:00,1.20.1,us
Poor instructions,Instructions not very clear      Impossible for the average person to understand.,2,papabayr,2025-07-26T08:02:57-07:00,1.21.0,us
Doesn’t work,Doesn’t work,1,Kristine J C,2025-07-21T10:11:44-07:00,1.20.5,us
Mfcl3720cdw,"Extremely disapointed with the lack of real support. Cannot connect printer to network among othet things. The only tech company that offers real support it seems is Apple. I hate not being able to talk to somebody, i didnt grow up with computersxand printers and i dont have the time or patience to search thru hundreds of FAQs ( ive never found help in any company’s faqs yet) and try to ndetstand the lingo to fix my own problem wit the expensive printer i bought from brother. Havent been able to even set it up. Itd be nice if you had phone support, especially for older people…Now i have only regrets",1,Bebee 23,2025-07-20T16:46:45-07:00,1.20.5,us
Basura,Basura,1,Xxedgar212xX,2025-07-14T09:18:36-07:00,1.20.5,us
Won’t Connect,"Went through the setup and was even able to print. However, since the first time the printer says it’s online but can’t be found by the app and won’t print anything. Massive waste. Doesn’t work with pc either.",1,tolson12390,2025-07-13T09:06:40-07:00,1.20.5,us
Worst App Ever,I HAD been a BIG fan of Brother products.  This has been a BIG disappointment.  Wasted 10+ hours so far!  Do not get any printer that uses this app.,1,Amouree,2025-07-11T03:38:21-07:00,1.20.5,us
PIA connect to network,Keeps disconnecting to WiFi and set up takes forever.,1,Yeedoc,2025-07-08T09:47:03-07:00,1.20.5,us
Connectivity issues,The machine constantly shows unable to connect to WiFi. Won’t allow me to add multiple devices to print from 2 different phone.,1,nenheyehheyhe,2025-07-06T19:19:17-07:00,1.20.5,us
Annoying installation so 1*,"CONSTANT tricks trying to get you to subscribe to all their bloat-ware completely unnecessary to the app just working.  Just make software that works, we don't want your spam or emails",1,NikonPhotographer83,2025-06-30T12:35:33-07:00,1.20.5,us
So far so good,No complaints I just wished I’d had the money for color too lol,5,Crisi.story,2025-06-29T11:52:47-07:00,1.20.5,us
Print issues,"After changing the print card cartridge, printer will no longer print from remote device. Troubleshooting does not locate the problem.",2,joaneb_home,2025-06-24T06:22:24-07:00,1.20.5,us
sexy printer,sexiest printer i’ve ever had it’s so fast. shoutout to the swes and ui/ux designers and product designers i see you and vouch for your promotion,5,some guy was taken,2025-06-23T19:21:19-07:00,1.20.5,us
Great so far!,Absolutely love this printer. It has been great so far and the mobile connect seems to work perfectly with the machine. I just bought it so I have not signed up for ink replacement. That seems to be the only thing that people have a complaint about. That seems to be true for almost any color LaserJet printer.,5,edittide777,2025-06-23T14:38:10-07:00,1.20.5,us
App keeps crashing,"Just refreshed to the latest app version. However, every time I try to open, the app crashes. Very frustrating.",1,A1234abc1,2025-06-23T11:56:06-07:00,1.20.5,us
Useless scam app,"According to the app it can see my printer and can show all sorts of info about it but when I try and scan it can’t seem to connect, but then it tries to sell me a toner subscription.  I strongly suspect it will magically start working if I subscribe.  I thought I was buying a printer not subscribing to one.  Either way I will never purchase anything from Brother again.",1,Jimzks,2025-06-22T19:14:53-07:00,1.20.5,us
Good,Very nice,5,The  Eliu,2025-06-19T10:52:58-07:00,1.20.5,us
Tough set up,Still trying after 3 hrs. No support. Prints 20% of attempts.,1,John14:27,2025-06-14T16:01:26-07:00,1.20.5,us
