source,date,rating,content,title,version
Google Play,2026-01-17 21:22:45,1,"absolute shite ! Incredibly complicated, unnecessarily protracted installion process ... Very poor punter / printer interface .... could not be more user unfriendly even if it was specifically designed to be so ! A complete waste of time to use ~ expensive, incompetent electronic junk ...😱",,20.2.0.6076
Google Play,2026-01-17 20:04:55,2,"2 stars because it does technically allow me to scan and there are no Android alternatives for my HP AIO. This app is more of an advertisement/upsell effort by HP than a print & scan app. Close all the ads? They all come back seconds later. Also, why do I need to login to an HP account to use a 15+ year old device sitting on my own desk? Why can't I scan at 600dpi or greater? Before installing, check to see if your device is supported by the ""Mopria"" app so you can hopefully steer clear of this.",,18.10.0.5530
Google Play,2026-01-17 17:40:00,5,"Convenient, useful, and helpful. I am using this app from 2018. It is one of the best mobile scanning documents to convert your physical documents to jpeg or pdf. It has never failed to impress me. It is also packed with superb functionalities to use your HP printer. Everything can be done from this HP Printer Smart app. Highly recommending it to anyone willing to get a scanning document app or if you are buying a HP printer on 2026, you will definitely need this app to setup your HP printer =)",,
Google Play,2026-01-17 16:57:52,1,asks for sign up...,,20.2.0.6076
Google Play,2026-01-17 14:30:44,1,"It was a massive pain from the beginning. Why does it only use 2.4Ghz? After eventually getting it connect I find out that I can't even scan without creating an account. HP why do I have to create an account to use my freaking printer?! I don't want you collecting my data just to sell it to 3rd parties. All of these trash restrictions that are called features is ridiculous. What happened to being able to get a simple, no wifi printer that I can just connect via usb and use as I please?",,20.2.0.6076
Google Play,2026-01-17 13:04:10,1,Dumb usless product,,20.1.0.5822
Google Play,2026-01-17 12:35:46,1,"so far, TOTAL EPIC FAILURE",,20.2.0.6076
Google Play,2026-01-17 11:48:42,5,very easy setup great printer,,20.2.0.6076
Google Play,2026-01-17 10:28:28,1,Not helpful. Instructions not clear. Cannot get a support person on the phone,,20.2.0.6076
Google Play,2026-01-17 10:17:03,1,"worst app and worst printer the app is really slow, always takes you to the website and you have to sign in every time you have to anything",,
Google Play,2026-01-17 08:54:57,1,Awful experience trying to print an insurance certificate needed for the next day. HP printers have now become almost useless and HP is not interested at all in its customers. Difficult to recommend them any more.,,20.2.0.6076
Google Play,2026-01-17 07:17:23,5,Good,,20.2.0.6076
Google Play,2026-01-17 04:13:31,5,wonderful app has lots of expansion it allows you to take a simple document and put it into your phone to the scanner on the printer or take things off of your phone and put them into something else it allows things to go back and forth between the printer and the phone or tablet you know it'll allow you to take and scan things that you can put into an email from the scanner it'll allow you to take things off the net forms it is the one most wonderful app I've got 2026,,20.2.0.6076
Google Play,2026-01-17 03:20:38,1,Trying to add my printer after installing a new router and the app just crashes every time. The printer is now just an expensive lump of nothing as I can't connect using my phone and I don't have a PC.,,20.2.0.6076
Google Play,2026-01-16 20:08:21,1,Useless!,,
Google Play,2026-01-16 18:28:31,1,sucks,,20.2.0.6076
Google Play,2026-01-16 14:17:03,1,very difficult to use. often prints the wrong page. cancelling the print job just delays it. I wish I could just print from the PDF viewer.,,20.2.0.6076
Google Play,2026-01-16 11:24:14,1,I can't scan documents with my printer anymore,,20.2.0.6076
Google Play,2026-01-16 11:01:19,3,"I connect via WiFi and App is very intermittent by phone... I only see my ink levels about 1 in 50 times I connect... Initially I moaned about tablet support (as with tablet connected to WiFi then it can't connect to printer) but actually tablet is much better... Connect tablet to WiFi, Open HP app, Login & when printer appears, Switch tablet to printer... This always seems to work & I can finally Scan reliably. Still not perfect as Print Dashboard needs internet so that doesn't work :(",,20.2.0.6076
Google Play,2026-01-16 10:49:56,5,very good,,20.2.0.6076
Google Play,2026-01-16 08:58:30,1,awful,,20.2.0.6076
Google Play,2026-01-16 08:56:30,1,I can never get my printer to connect and it pmo.,,20.2.0.6076
Google Play,2026-01-16 07:16:38,1,sucks,,20.2.0.6076
Google Play,2026-01-16 06:54:56,1,anti-consumer practice that locks the printer behind using specifically HP ink. I got my account locked for for buying third party ink and trying to use that. I will never purchase from the HP brand again.,,20.2.0.6076
Google Play,2026-01-16 05:27:17,2,"I tried to use this app to just print something via my phone quickly. It first allowed me to use the app as a guest. It autodiscovered my printer (on the same network) easily enough, and yet when I went to print something I was required to sign in. No HP, I'm not going to create an account with you to use my own local printer. Would've been 1 star but it did actually autodiscover the printer instantly. Props to the dev that built that feature.",,20.2.0.6076
Google Play,2026-01-15 21:00:56,1,Terrible.,,20.2.0.6076
Google Play,2026-01-15 20:58:11,3,Kindly add double side /two sided printing option to save pages.,,20.2.0.6076
Google Play,2026-01-15 17:28:40,1,"I'm trying to print my second single page in many mouths and my printer requested to print the alignment 3 times, after printing 3 times a white page (I mean just didn't print) it started just not printing at all... I just added a new cartridge, the printer is in good condition..... ah, but they charged me for the alignment prints and suggested me to buy a monthly plan since I am printing so much. the AI customer service doesn't understand what is my problem (doesn't have this options).",,20.2.0.6076
Google Play,2026-01-15 17:18:35,1,my printer reads not available yet wifi is operating on my phone and TV. so I don't know what the problem is but I'm quite frustrated.,,20.2.0.6076
Google Play,2026-01-15 15:36:55,1,i should not need an app to use a printer,,
Google Play,2026-01-15 14:39:25,5,trial,,
Google Play,2026-01-15 12:44:02,5,just the best app for use,,20.2.0.6076
Google Play,2026-01-15 12:38:54,1,cant fax service constantly doesn't connect,,20.1.0.5822
Google Play,2026-01-15 10:44:45,1,requiring an app to use your printer is not user friendly,,
Google Play,2026-01-15 10:36:40,5,Good app recommend,,20.2.0.6076
Google Play,2026-01-15 10:26:59,1,never buy an HP again. my printer never wants to print. still brand new after buying it two years ago. junk!!!,,20.2.0.6076
Google Play,2026-01-15 10:19:32,1,whole day spent trying to complete set up. absolutely pointless,,20.2.0.6076
Google Play,2026-01-15 08:24:20,5,You don't want to miss this,,20.2.0.6076
Google Play,2026-01-15 08:15:42,4,trouble adding new printer,,20.2.0.6076
Google Play,2026-01-15 07:42:23,5,Great,,20.2.0.6076
Google Play,2026-01-15 06:13:03,5,great job,,20.2.0.6076
Google Play,2026-01-15 04:49:53,5,love it,,20.2.0.6076
Google Play,2026-01-15 01:55:52,5,can connect photo to printer,,20.2.0.6076
Google Play,2026-01-15 01:34:33,5,Once you get it all synced up with the computer and phone. with the HP SMART APPLICAT ION. IT'S THE BEST PRINTER I HAVE EVER USED.,,20.2.0.6076
Google Play,2026-01-14 23:18:50,5,This new update is really good. App opening faster,,20.2.0.6076
Google Play,2026-01-14 19:08:40,1,"can't send mobile fax, it constantly lingers",,20.2.0.6076
Google Play,2026-01-14 16:21:07,1,"Pathetic - Cannot connect to an OfficeJet Pro 8020 via the same wifi network. Tried many times on 2 mobiles (cell phones) and 1 tablet. I can connect to other brands of printer except HP. What happened? HP used to be good brand, but is useless now. Being objctive here. Fix this to prove me wrong and I will change my review immedately. HP Smart(?) cannot find a printer via the same network nor via jetdirect.",,20.2.0.6076
Google Play,2026-01-14 13:35:05,5,I just received my 2nd printer utilizing the ink and new printer option. Hopefully this will work out for me!,,20.2.0.6076
Google Play,2026-01-14 12:06:02,1,"Total garbage. Nothing seems to work, takes forever to set up new printer or do any tasks",,20.2.0.6076
Google Play,2026-01-14 11:50:35,1,"printers don't work, app debugging and maintenance tools don't work. Utter trash",,20.2.0.6076
Google Play,2026-01-14 11:10:08,1,Unusable... Asks me to create an account to use the features.,,20.2.0.6076
Google Play,2026-01-14 11:10:07,2,took ages to set up a while back. such a pain. Last used my printer 2 months ago. I can't even use it now after the update. Just will not connect. seriously had enough.,,20.2.0.6076
Google Play,2026-01-14 09:17:43,1,"first 30min use this app looks useless ,I'm try print picture change size fit to page its working much worse than I'm use previously Brothers app.Hp is much worse I uninstal it",,20.2.0.6076
Google Play,2026-01-14 08:22:44,1,There are too many problems with all HP printers. time to change brand...,,20.2.0.6076
Google Play,2026-01-14 07:08:18,2,Why do I need to sign in to scan?,,
Google Play,2026-01-14 06:51:15,1,"No longer connects to my HP 4500. The printer is connected to the WiFi and prints no problem, even with remote printing. But the HP app can no longer find the printer. Error is obviously with the app since the last upgrade as the printer is working perfectly. Both app and printer are connected to the same WiFi as the app. Previously, the app was 5 stars. But as it's now non-functional, it's 1 star by default. Tried reinstalling the app, still nothing.",,20.2.0.6076
Google Play,2026-01-14 05:50:44,1,can't even sign in,,20.2.0.6076
Google Play,2026-01-14 04:35:22,1,garbage from hp,,20.1.2.5988
Google Play,2026-01-14 04:07:44,5,This is very important app for all learners,,
Google Play,2026-01-14 03:52:55,1,always causing issue. wireless connection lost.,,20.2.0.6076
Google Play,2026-01-14 01:05:56,1,"it is just awful. why do I need an app to use my printer. every document has to be saved and converted to PDF, then open the app to select and view, I'm 5 minutes to print a returns label. I can understand the need for every feature for business customers, but I just want to print letter and homework. just have it link to WiFi like printers used to be.",,20.2.0.6076
Google Play,2026-01-14 01:03:25,1,"probably the worst app and printer ever. the ink is such a scam because i got 305 and it wont even work with 308. also my printer wont recognise the paper or cartridges, youre better off buying a printer from anywhere but hp. infact buy an epson printer, you get enough ink for monthly use and its mostly cheap",,20.2.0.6076
Google Play,2026-01-13 23:22:16,2,i like the app better than the hp smart version. but it still can't do everything in app. still have to enroll subscription and change settings through web. currently it won't let my printer connect to wifi when choose add previous printer and I'm on subscription. such a waste of money and time.,,20.2.0.6076
Google Play,2026-01-13 21:32:05,4,Easy to use.,,20.2.0.6076
Google Play,2026-01-13 17:28:21,2,"The new app has the reliability of a Wi-Fi signal in an elevator. It randomly loses connection, and scanning through the document feeder is a fun game where the app quits after 4–5 pages while the scanner happily keeps going like nothing happened. The hardware is working, the app is not, and I’m left wondering which century this software was designed in. Would not recommend if you enjoy finishing tasks.",,20.2.0.6076
Google Play,2026-01-13 16:18:41,1,require sign in for using FULL PURCHASED printer. garbage!!,,
Google Play,2026-01-13 15:57:47,1,"I've had this printer for most of the year and can't use it. It will not stay connected to my tablet nor can I get it to print copies. it's a useless paper weight. It can't connect with my pc, either, because it is wireless. I'm still paying for ink, although it has only printed 2 pages in 9 months.",,20.2.0.6076
Google Play,2026-01-13 14:36:33,2,"difficult to use, runs out of ink way too fast. needs constant updates and reinstalls more headache then it's worth",,20.0.1.5732
Google Play,2026-01-13 13:50:18,1,Painful,,
Google Play,2026-01-13 11:24:15,1,can't fax 😞??? worked when I got the printer but now it's not doing what it's supposed to do..,,20.2.0.6076
Google Play,2026-01-13 11:11:13,5,"Amazing, this user friendly HP does it all, enables an average office skill person like myself to scan, print, fax, copy, etc....",,20.2.0.6076
Google Play,2026-01-13 10:42:27,1,facing very hard to connect and use.😢,,20.2.0.6076
Google Play,2026-01-13 10:41:28,1,"don't recommend. tried to add printer to new computer, it forced me to add to other stuff... not good",,
Google Play,2026-01-13 09:49:17,1,"Useless app, it seems to difficult to align a picture. Or to connect to a printer. Or, if it finally works, remember a printer. Or to actually notice that it has paper....",,20.2.0.6076
Google Play,2026-01-13 08:07:11,5,very good and tung🐒🐒🐒🐒,,
Google Play,2026-01-13 06:54:38,5,Nice,,20.2.0.6076
Google Play,2026-01-13 06:28:14,1,"HP used to be really good, but now it's not. They still sell good printers and computers, but they only work well if you're lucky. Just keep praying for that miracle!",,20.2.0.6076
Google Play,2026-01-13 05:41:02,1,Literally unusable.,,20.2.0.6076
Google Play,2026-01-13 05:11:51,5,good,,20.1.2.5988
Google Play,2026-01-13 05:11:04,5,you are the best,,20.2.0.6076
Google Play,2026-01-13 03:33:07,5,Good,,20.2.0.6076
Google Play,2026-01-13 01:14:11,5,love this printer and I'm so glad I purchased it over the o s I was going to purchased at first.,,20.2.0.6076
Google Play,2026-01-13 00:54:18,5,good,,20.2.0.6076
Google Play,2026-01-12 20:44:56,5,Good,,20.2.0.6076
Google Play,2026-01-12 20:35:25,4,smooth and easy,,18.5.1.5470
Google Play,2026-01-12 20:29:34,1,it's just blank,,20.2.0.6076
Google Play,2026-01-12 17:45:59,1,"Terrible user experience. New printer out of box will not work until you register the device, but in order to finish HP app needs to add printer (via Bluetooth). Printer plugged in via Ethernet + Wifi, but neither the computer or phone can 'find' it. Dead in the water.",,20.2.0.6076
Google Play,2026-01-12 17:34:40,1,Can't scan double-sided using the app.,,20.2.0.6076
Google Play,2026-01-12 14:47:39,5,good,,
Google Play,2026-01-12 13:32:20,1,Having issues with HP 6100 series not staying connected to wifi. As far as I'm concerned next printer will either be a Brother or a Cannon!,,20.2.0.6076
Google Play,2026-01-12 12:41:14,1,"HP printer never worked fine. Now with the new app it just doesn't connect. I cannot print anything, although it was connected before. 5 years of struggle with HP printers, I will finally buy a better alternative.",,20.2.0.6076
Google Play,2026-01-12 12:30:38,1,"Had nothing but hassle with my Envy 6200 printer from 1st set up from new ( took around 5hrs to set up!) to now as ive changed BB provider. My printer atm is literally an ornament as it wont connect to my internet router! Ive done every step as the app tells you to no avail, ive done every troubleshoot step, ive been through the settings on my phone repeatedly & again its over 4hrs! Im paying for instant ink yet HP know im not connected to the internet! Absolutley rediculous!",,20.2.0.6076
Google Play,2026-01-12 12:05:06,2,not helpful!,,20.2.0.6076
Google Play,2026-01-12 11:57:15,1,needs to be connected to an account to use printer.,,
Google Play,2026-01-12 11:46:55,1,not working,,20.2.0.6076
Google Play,2026-01-12 11:37:26,1,"I have used HP printers for years without a single issue until now. This new model is a nightmare. The touchscreen is far too small and incredibly over-sensitive; every time I try to tap a setting, the screen jumps or selects the wrong option because there’s no room for your hand to steady itself. Worst of all, the Direct Wi-Fi setup is broken. It won't connect to my phone no matter what I try. I’ve been at this for over 5 hours and it's still not working. This machine is currently a paperweight",,
Google Play,2026-01-12 10:32:27,1,is not downloadable :),,
Google Play,2026-01-12 10:26:43,1,money waste hp printer,,
Google Play,2026-01-12 08:49:49,1,"has been an issue since updated version, can never connect my printer",,
Google Play,2026-01-12 08:24:24,5,good device so far,,20.2.0.6076
Google Play,2026-01-12 06:47:01,1,"absolutely pathetic, every time I use it,it comes with hours of faffing about and trying to get the thing to work. I will never buy anything from you again and this is not the first time and I am not the only one who has these problems with your products",,20.2.0.6076
Google Play,2026-01-12 06:22:30,1,unable to connect says printer expired,,
Google Play,2026-01-12 04:24:43,1,missing the feature of instant image editing over A4 print surface before you print it ... that was cool feature allows to instant image album and easy to use missing on this update,,
Google Play,2026-01-12 04:11:05,1,Doesn't find printers. Useless without an account to gather all your data,,20.2.0.6076
Google Play,2026-01-12 01:59:32,5,good,,20.2.0.6076
Google Play,2026-01-12 00:58:37,5,nice but this app was not opening,,20.2.0.6076
Google Play,2026-01-11 21:39:40,1,horrible app,,20.2.0.6076
Google Play,2026-01-11 19:37:30,5,scanner feature pretty slick,,20.2.0.6076
Google Play,2026-01-11 17:17:28,1,waste of time. so frustrating,,20.2.0.6076
Google Play,2026-01-11 16:46:05,1,hot garbage app. Last update ruined it,,20.2.0.6076
Google Play,2026-01-11 16:11:17,1,very bad machine no control! I don't like the member ship to get ink!,,20.2.0.6076
Google Play,2026-01-11 14:54:11,5,Just the printer and options I needed! 👍💪,,20.2.0.6076
Google Play,2026-01-11 13:12:58,5,HP FINALLY got this app back to where you can choose A6 paper to force Amazon return label photos to not print QR codes the size of a softball. And there's other much needed image adjustment tools. I am excited to finally get what this app should have been all along. NOW LEAVE IT ALONE!!!,,
Google Play,2026-01-11 12:33:56,2,Unstable for scanning. The app restarted (probably crashed) while I was scanning a document. I was able to scan 22/29 pages and then it restarted and lost all the scanned pages. Very very frustrating..,,
Google Play,2026-01-11 12:12:52,2,"Buggy app. When trying to print one page in a multi-page PDF the app will always print the first page instead if whichever number has been written. For example, if I want page 5 only, neither writing 5 or 5-5 prints page 5, and the printer will print page 1. Also, the app has improved from its previous versions, but the printers are buggy, don't wake up when a job is sent, and the cleaning cycles take ages making them useless for quick jobs (officeJet).",,20.2.0.6076
Google Play,2026-01-11 10:33:29,1,Violating! I HAVE COME TO HATE HP TECHNOLOGY! Service is horrible. You can NEVER get a US American Rep to talk to. I stopped buying HP products. They do not deserve or worthy of consumer purchases because of their poor patronage.,,
Google Play,2026-01-11 10:14:16,3,"The app works great but faxing is completely dysfuntional, it does not work, there is no faxing with HP Smart period!",,18.10.0.5530
Google Play,2026-01-11 10:07:20,5,Seems to work 👍! Except how do I send this message?,,20.2.0.6076
Google Play,2026-01-11 09:04:53,5,Scanner is very good,,20.2.0.6076
Google Play,2026-01-11 06:04:44,5,nice app my usedit for my printer prints every thing nicely and mstt .,,
Google Play,2026-01-11 05:59:33,1,the app dose not match my printer,,20.2.0.6076
Google Play,2026-01-11 05:29:25,1,"And here I thought I was the only person who hates this app I don't understand why HP has all this money but yet they can't create an app for or hp customers to print correctly with there printers ,this app sucks and it's really annoying.",,
Google Play,2026-01-11 03:01:43,1,"Sadly useless. As soon as I opened it, the app told me to download a different app instead to get the thing I needed done done.",,
Google Play,2026-01-10 23:08:34,1,horrible app,,
Google Play,2026-01-10 18:59:32,5,scan is good on this app,,20.2.0.6076
Google Play,2026-01-10 15:35:18,1,"absolutely trash, such a pain to even get this thing set up. ONLY option to setup is wifi and refuses to connect, ill never buy another hp device.",,20.2.0.6076
Google Play,2026-01-10 09:02:12,1,This has done nothing but bad for a while I could print stuff perfectly and smoothly but then all of a sudden my printer isn't connected when on the printer itself it shows full barsand when I could print from Microsoft word I can't do that because my printer is unavailable and even i go on the app its3lf to print a photo it takes forever to retrieve the paper size I haven't seen the day where it successfully retrieved the paper size I unistalled the app nothing changed.,,20.2.0.6076
Google Play,2026-01-10 06:17:09,3,Printer looses connection every time I want to use it and takes a lot of time to get back working.,,20.2.0.6076
Google Play,2026-01-10 06:16:15,5,nice app .. easy to use perfect,,20.2.0.6076
Google Play,2026-01-09 22:37:02,1,"I could use the scan option of the printer while I connect via wifi, but the new update/UI says not connected to the printer, despite being connected.",,20.2.0.6076
Google Play,2026-01-09 19:57:31,2,why do I have to pay for a subscription 😫 and I haven't even used my printer 🙃 yet? I've only set it up,,
Google Play,2026-01-09 16:59:14,5,love HP,,20.2.0.6076
Google Play,2026-01-09 15:13:32,1,Doesn't help me with the troubleshooting. printer is always offline or just will not print,,20.2.0.6076
Google Play,2026-01-09 15:03:06,5,great app,,20.2.0.6076
Google Play,2026-01-09 13:02:47,5,HP printers are the best hands down,,
Google Play,2026-01-09 11:20:17,1,horrible. come on hp it's 2026,,20.2.0.6076
Google Play,2026-01-09 11:07:28,1,shouldn't have to download an app to use a printer.,,
Google Play,2026-01-09 10:53:39,1,"it suppose to be FREE, when you buy a printer...!!!!!!",,
Google Play,2026-01-09 10:15:08,1,"No idea how to delete a printer. I mostly use this app to help setup my clients printers but I also have my own home printer setup on the app. No idea how Instant Ink works. Seems like a generic HP Account is insufficient, need to go through too many links/sites before anything can be done!",,20.2.0.6076
Google Play,2026-01-09 10:10:33,4,decently put together ez printer link n very helpful on toner,,20.2.0.6076
Google Play,2026-01-09 08:29:24,3,lagging hard,,20.2.0.6076
Google Play,2026-01-09 07:14:18,5,thanks you I can print a underwater ocean,,20.2.0.6076
Google Play,2026-01-09 06:07:55,1,Useless,,20.2.0.6076
Google Play,2026-01-09 05:23:39,1,Slowest app I've ever used.,,20.1.2.5988
Google Play,2026-01-09 04:43:09,5,excellent,,20.2.0.6076
Google Play,2026-01-09 04:18:46,1,"not working worst app, dont time waste, worst worst",,20.2.0.6076
Google Play,2026-01-09 03:36:59,5,Great app! Easy and versatile to use.,,20.2.0.6076
Google Play,2026-01-09 01:26:13,1,not working,,
Google Play,2026-01-08 23:39:41,1,easy made hard by red tape,,20.0.0.5655
Google Play,2026-01-08 18:18:52,1,can't connect the printer I just bought. returning.,,
Google Play,2026-01-08 17:27:38,1,when you go through the setup for the printer and you try to active HP+ you click continue it just stays on the following page asking you activate then nothing happens. I do want the HP+ but it wont move forward to finish the setup,,20.2.0.6076
Google Play,2026-01-08 16:39:07,2,Why is my tablet not compatible with this app anymore. I need to scan things. very upsetting.,,
Google Play,2026-01-08 14:01:05,1,"Almost every option takes me to a ""processing"" screen that never processes. Ridiculous from a company as large as HP. Cannot even set up the printer I just bought. Stay away from this brand.",,20.2.0.6076
Google Play,2026-01-08 13:23:31,1,there should be a button on the printer instead of hp malware on my phone,,20.2.0.6076
Google Play,2026-01-08 12:00:58,1,was fine and now cannot log in,,20.2.0.6076
Google Play,2026-01-08 11:49:58,5,it was great adding a new 🖨 printer,,20.2.0.6076
Google Play,2026-01-08 11:27:40,1,probably the most useless printer I have ever owned. frequently won't connect and just refuses to print,,20.2.0.6076
Google Play,2026-01-08 09:51:36,5,great!,,20.2.0.6076
Google Play,2026-01-08 09:24:28,1,third class,,
Google Play,2026-01-08 08:56:24,5,"I have always enjoyed HP Smart, and now I am excited to continue with HP now that it automatically updated!",,20.2.0.6076
Google Play,2026-01-08 08:36:35,1,"Does not go to my devices at all! I just received the new printer this morning, and having no success in registering the serial number. It keeps asking for a valid number other than the S/N that is printed on the box, on the back of the printer, or inside the two front doors. I am very discouraged with this purchase from HP!",,20.2.0.6076
Google Play,2026-01-08 07:39:50,1,Not compatible on my devices? hp laptop and Android tablet,,18.10.0.5530
Google Play,2026-01-08 06:28:21,1,Constantly locks up. Currently unusable.,,20.2.0.6076
Google Play,2026-01-08 06:27:05,3,yes the printer is amazing the app is good. but don't even think about missing a payment or asking for help. if u sick or having family problems. they told me they didn't care. my family have been fighting covid since xmas. and i was only paid less then 200 bucks on check well tried to pay the 25 i missed last month n well apparently i missed another month i didn't realize cuz well the printer was working anyways. it took 2 25 doller payments. i ask if i could get 1 of those 25 back they ssid no,,
Google Play,2026-01-08 06:19:42,1,"This app is a piece of .... literally Totally incompetent, unusable- printing ANYTHING takes hours as this app has 1. a bug that closes the app. 2. Fails to recognise your printer when its just identified on the previous page!. 3. doesnt work on wifi or etharnet cable when its CLEARLY CONNECTED. Absolutely Horrible HP you should be ashamed of this piece trash and the plug in. neither of them work! Will be moving to another printer and spreading the word. Disgusting!",,20.2.0.6076
Google Play,2026-01-08 06:18:38,1,didn't help,,20.2.0.6076
Google Play,2026-01-08 06:01:21,5,I am happy with the app,,
Google Play,2026-01-08 04:20:39,1,the app opens but it's very difficult to connect to the printer,,
Google Play,2026-01-08 04:17:32,5,it works fine for me 🙂,,20.2.0.6076
Google Play,2026-01-07 23:05:26,2,I bought printer so I have to install this app. I think HP do not have UI/UX team.,,20.2.0.6076
Google Play,2026-01-07 21:03:38,1,nothing works right on android 15 trying to get it to load so I can get the link replaced is a nightmare. it just doesn't load at all,,20.2.0.6076
Google Play,2026-01-07 17:43:02,1,"New Cell, New App, New Problem This app worked great for years. On 18 DEC 25 I changed cell phones from Samsung Note 10+ to Samsung S25 Ultra. Within 24 hours I tried printing. No Joy. The app looked different from what I remembered. I first tried printing a PDF but other than finding my printer, nothing worked. I had not Wiped old Cell, it had the older version and it printed same PDF. Now, on 07 JAN 26, I've cleared cache uninstalled/reinstalled app, tried printing. No Joy. Semper Fi",,20.2.0.6076
Google Play,2026-01-07 17:29:31,1,sucks,,
Google Play,2026-01-07 14:32:35,5,"Love it, it's not perfect but I'm always satisfied with HP products.",,20.2.0.6076
Google Play,2026-01-07 13:40:20,1,"I'm on a HP Chromebook and i need to connect my HP printer so this app's not working!!! also, I went to an HP printer app and they sent me here!!! plus, i'm commenting because this app doesn't work!!!",,
Google Play,2026-01-07 11:54:02,1,it will not connect?,,20.2.0.6076
Google Play,2026-01-07 11:22:30,1,WARNING!!! DO NOT BUY HP PRINTERS!!! After buying my HP Smart Tank 7600 printer; HP requires you to get a monthly or yearly subscription to use their product! -Like it doesn't cost enough for paper and ink... I'll NEVER buy an HP product EVER again!!!!!!,,20.2.0.6076
Google Play,2026-01-07 11:02:47,3,The app is a little slow,,20.2.0.6076
Google Play,2026-01-07 10:31:13,3,Why does the landing page take so long to load? I do like the mobile Fax feature. that is really cool.,,20.2.0.6076
Google Play,2026-01-07 10:20:07,3,"Am Anfang hatte ich Schwierigkeiten mit der Internetverbindung, Aber nach einpaar Stunden gelang es mir, Das Gärt zum Laufen zu bringen und der App zu installieren. Seitdem bin zufrieden. Nun funktioniert gut 👍 und essay .",,18.5.1.5470
Google Play,2026-01-07 09:47:55,1,does not connect,,20.2.0.6076
Google Play,2026-01-07 09:08:05,5,Useful tool,,20.2.0.6076
Google Play,2026-01-07 06:05:27,1,didn't let me use password I had just created stuck on a page in a loop of back and forth really annoying,,20.2.0.6076
Google Play,2026-01-07 05:25:04,5,nice,,20.2.0.6076
Google Play,2026-01-07 04:52:08,3,"good and great😊, some time not working",,20.2.0.6076
Google Play,2026-01-07 04:33:01,5,nice 👍,,20.2.0.6076
Google Play,2026-01-07 02:48:52,5,easy install,,
Google Play,2026-01-07 00:49:01,1,can't print with out subscription to ink paper delivery .,,
Google Play,2026-01-06 21:24:28,3,not a fan of the app. I also have a fear of the phone and software apps are supposed to help me and my current heath conditions.,,20.2.0.6076
Google Play,2026-01-06 19:45:30,1,I used to be able to print from my phone before this update. If this is progress I may have to get a new printer and not hp.,,20.2.0.6076
Google Play,2026-01-06 19:40:28,5,"great option for scanning, easy and reliable",,20.2.0.6076
Google Play,2026-01-06 19:02:25,5,good,,20.1.2.5988
Google Play,2026-01-06 18:26:15,2,cannot get it to scan from second device (added user),,18.10.0.5530
Google Play,2026-01-06 17:43:05,1,glitchy,,20.2.0.6076
